County,SD #,SD Pop. in County,% of County in SD
Adams,14,13507,0.647
Adams,24,7368,0.353
Ashland,25,16157,1
Barron,23,20,0
Barron,25,45850,1
Bayfield,25,15014,1
Brown,1,42370,0.171
Brown,2,72155,0.291
Brown,30,133482,0.538
Buffalo,31,13587,1
Burnett,10,9534,0.617
Burnett,25,5923,0.383
Calumet,1,34555,0.706
Calumet,9,8343,0.17
Calumet,20,6073,0.124
Chippewa,23,62363,0.999
Chippewa,31,52,0.001
Clark,23,33882,0.977
Clark,29,808,0.023
Columbia,13,4991,0.088
Columbia,14,36373,0.64
Columbia,27,15469,0.272
Crawford,32,16644,1
Dane,13,25574,0.052
Dane,14,4454,0.009
Dane,15,7747,0.016
Dane,16,172516,0.353
Dane,26,172333,0.353
Dane,27,105449,0.216
Dodge,13,70412,0.793
Dodge,14,10483,0.118
Dodge,18,7864,0.089
Door,1,27785,1
Douglas,25,44159,1
Dunn,10,23617,0.538
Dunn,23,15446,0.352
Dunn,25,677,0.015
Dunn,31,4117,0.094
Eau Claire,23,22681,0.23
Eau Claire,31,76055,0.77
Florence,12,4423,1
Fond du Lac,14,12169,0.12
Fond du Lac,18,75436,0.742
Fond du Lac,20,14028,0.138
Forest,12,9304,1
Grant,17,51208,1
Green,15,10561,0.287
Green,17,14974,0.406
Green,27,11307,0.307
Green Lake,14,19051,1
Iowa,17,16574,0.7
Iowa,27,7113,0.3
Iron,25,5916,1
Jackson,23,1119,0.055
Jackson,24,1482,0.072
Jackson,31,17848,0.873
Jefferson,11,33022,0.395
Jefferson,13,42638,0.509
Jefferson,15,8026,0.096
Juneau,14,2,0
Juneau,17,26662,1
Kenosha,11,3379,0.02
Kenosha,21,57618,0.346
Kenosha,22,105429,0.633
Kewaunee,1,20574,1
La Crosse,32,114638,1
Lafayette,17,16836,1
Langlade,12,19977,1
Lincoln,12,28743,1
Manitowoc,1,24015,0.295
Manitowoc,9,57427,0.705
Marathon,12,3548,0.026
Marathon,23,16102,0.12
Marathon,29,114413,0.853
Marinette,12,18928,0.453
Marinette,30,22821,0.547
Marquette,14,15404,1
Menominee,12,4232,1
Milwaukee,3,171977,0.181
Milwaukee,4,172425,0.182
Milwaukee,5,101843,0.107
Milwaukee,6,172292,0.182
Milwaukee,7,172423,0.182
Milwaukee,8,52324,0.055
Milwaukee,28,104451,0.11
Monroe,17,1829,0.041
Monroe,24,30970,0.693
Monroe,32,11874,0.266
Oconto,12,21193,0.563
Oconto,30,16467,0.437
Oneida,12,35998,1
Outagamie,1,23037,0.13
Outagamie,2,58041,0.328
Outagamie,14,1610,0.009
Outagamie,19,94007,0.532
Ozaukee,8,41972,0.486
Ozaukee,20,44423,0.514
Pepin,31,7469,1
Pierce,10,14122,0.344
Pierce,31,26897,0.656
Polk,10,41262,0.933
Polk,25,2943,0.067
Portage,24,70019,1
Price,25,14159,1
Racine,11,2149,0.011
Racine,21,114710,0.587
Racine,22,66837,0.342
Racine,28,11712,0.06
Richland,17,18021,1
Rock,11,26790,0.167
Rock,15,133541,0.833
Rusk,29,14755,1
St. Croix,10,83710,0.992
St. Croix,25,629,0.007
St. Croix,31,6,0
Sauk,14,3089,0.05
Sauk,17,25599,0.413
Sauk,27,33288,0.537
Sawyer,25,1630,0.098
Sawyer,29,14927,0.902
Shawano,2,33877,0.808
Shawano,12,8046,0.192
Shawano,14,26,0.001
Sheboygan,9,106671,0.924
Sheboygan,20,8836,0.076
Taylor,29,20689,1
Trempealeau,23,2511,0.087
Trempealeau,31,26305,0.913
Vernon,17,847,0.028
Vernon,32,28926,0.972
Vilas,12,17989,0.839
Vilas,25,3441,0.161
Walworth,11,88782,0.868
Walworth,15,12621,0.123
Walworth,28,825,0.008
Washburn,25,15911,1
Washington,8,30512,0.231
Washington,13,2736,0.021
Washington,20,98639,0.748
Waukesha,5,70578,0.181
Waukesha,8,47545,0.122
Waukesha,11,18214,0.047
Waukesha,13,26053,0.067
Waukesha,28,55230,0.142
Waukesha,33,172271,0.442
Waupaca,2,8389,0.16
Waupaca,14,44021,0.84
Waushara,14,11797,0.482
Waushara,24,12699,0.518
Winnebago,18,88422,0.529
Winnebago,19,78572,0.471
Wood,23,18017,0.241
Wood,24,50022,0.669
Wood,29,6710,0.09
