County,SD #,SD Pop. in County,% of County in SD
Barbour,14,16589,1
Berkeley,15,54117,0.52
Berkeley,16,50052,0.48
Boone,7,24629,1
Braxton,12,14523,1
Brooke,1,24069,1
Cabell,5,96319,1
Calhoun,2,7627,1
Clay,12,9386,1
Doddridge,2,8202,1
Fayette,10,46039,1
Gilmer,2,4149,0.477
Gilmer,12,4544,0.523
Grant,11,8694,0.728
Grant,14,3243,0.272
Greenbrier,10,35480,1
Hampshire,15,23964,1
Hancock,1,30676,1
Hardy,14,14025,1
Harrison,12,69099,1
Jackson,4,29211,1
Jefferson,16,53498,1
Kanawha,8,87404,0.453
Kanawha,17,105659,0.547
Lewis,12,16372,1
Lincoln,7,21720,1
Logan,7,36743,1
McDowell,6,19873,0.899
McDowell,9,2240,0.101
Marion,2,11152,0.198
Marion,13,45266,0.802
Marshall,1,4371,0.132
Marshall,2,28736,0.868
Mason,4,27324,1
Mercer,6,62264,1
Mineral,14,9386,0.333
Mineral,15,18826,0.667
Mingo,6,20107,0.749
Mingo,7,6732,0.251
Monongalia,2,14811,0.154
Monongalia,13,68282,0.71
Monongalia,14,13096,0.136
Monroe,10,13502,1
Morgan,15,17541,1
Nicholas,11,26233,1
Ohio,1,44443,1
Pendleton,11,7695,1
Pleasants,3,7605,1
Pocahontas,11,8719,1
Preston,14,33520,1
Putnam,4,38338,0.691
Putnam,8,17148,0.309
Raleigh,9,78859,1
Randolph,11,29405,1
Ritchie,2,10449,1
Roane,3,5609,0.376
Roane,4,9317,0.624
Summers,10,13927,1
Taylor,14,16895,1
Tucker,14,7141,1
Tyler,2,9208,1
Upshur,11,24254,1
Wayne,5,16590,0.391
Wayne,6,11617,0.273
Wayne,7,14274,0.336
Webster,11,9154,1
Wetzel,2,16583,1
Wirt,3,5717,1
Wood,3,86956,1
Wyoming,9,23796,1
