HD #,County,County Pop. in HD,% of HD in County
1,Fairbanks North Star,17726,1
2,Fairbanks North Star,17736,1
3,Fairbanks North Star,17673,1
4,Fairbanks North Star,17786,1
5,Fairbanks North Star,17839,1
6,Denali,1826,0.103
6,Fairbanks North Star,8821,0.495
6,Southeast Fairbanks,2232,0.125
6,Valdez-Cordova,2240,0.126
6,Yukon-Koyukuk,2688,0.151
7,Matanuska-Susitna,17703,1
8,Matanuska-Susitna,17830,1
9,Matanuska-Susitna,7987,0.45
9,Southeast Fairbanks,4797,0.27
9,Valdez-Cordova,4955,0.279
10,Matanuska-Susitna,17827,1
11,Matanuska-Susitna,17716,1
12,Anchorage,7739,0.438
12,Matanuska-Susitna,9932,0.562
13,Anchorage,17678,1
14,Anchorage,17979,1
15,Anchorage,17511,1
16,Anchorage,17806,1
17,Anchorage,17797,1
18,Anchorage,17925,1
19,Anchorage,17692,1
20,Anchorage,17718,1
21,Anchorage,17642,1
22,Anchorage,17755,1
23,Anchorage,17809,1
24,Anchorage,17702,1
25,Anchorage,17924,1
26,Anchorage,17693,1
27,Anchorage,17678,1
28,Anchorage,17778,1
29,Kenai Peninsula,18026,1
30,Kenai Peninsula,18021,1
31,Kenai Peninsula,17971,1
32,Kenai Peninsula,1382,0.076
32,Kodiak Island,13592,0.752
32,Valdez-Cordova,2441,0.135
32,Yakutat,662,0.037
33,Haines,2508,0.142
33,Hoonah-Angoon,552,0.031
33,Juneau,13607,0.772
33,Skagway Municipality,968,0.055
34,Juneau,17668,1
35,Hoonah-Angoon,1598,0.09
35,Petersburg,3815,0.214
35,Prince of Wales-Hyder,3531,0.198
35,Sitka,8881,0.498
36,Ketchikan Gateway,13477,0.754
36,Prince of Wales-Hyder,2028,0.113
36,Wrangell City and Borough,2369,0.133
37,Aleutians East,3141,0.18
37,Aleutians West,5561,0.319
37,Bethel,213,0.012
37,Bristol Bay,997,0.057
37,Dillingham,4847,0.278
37,Lake and Peninsula,1631,0.093
37,Yukon-Koyukuk,1058,0.061
38,Bethel,16800,0.957
38,Kusilvak,746,0.043
39,Kusilvak,6713,0.38
39,Nome,9492,0.537
39,Yukon-Koyukuk,1472,0.083
40,North Slope,9430,0.544
40,Northwest Arctic,7523,0.434
40,Yukon-Koyukuk,370,0.021
