HD #,County,County Pop. in HD,% of HD in County
1,Lauderdale,45968,1
2,Lauderdale,38960,0.857
2,Limestone,6526,0.143
3,Colbert,39982,0.87
3,Lauderdale,1642,0.036
3,Lawrence,4348,0.095
4,Limestone,10405,0.231
4,Morgan,34665,0.769
5,Limestone,45403,1
6,Limestone,12891,0.281
6,Madison,32910,0.719
7,Franklin,6704,0.149
7,Lawrence,29991,0.665
7,Morgan,3226,0.072
7,Winston,5168,0.115
8,Morgan,45096,1
9,Cullman,11622,0.258
9,Marshall,1276,0.028
9,Morgan,32185,0.714
10,Madison,45107,1
11,Blount,13228,0.292
11,Cullman,23714,0.524
11,Marshall,4022,0.089
11,Morgan,4318,0.095
12,Cullman,45070,1
13,Blount,5117,0.114
13,Walker,39953,0.886
14,Jefferson,5338,0.118
14,Walker,27070,0.601
14,Winston,12665,0.281
15,Jefferson,40368,0.88
15,Shelby,5525,0.12
16,Fayette,17241,0.382
16,Jefferson,12563,0.279
16,Lamar,6909,0.153
16,Tuscaloosa,8367,0.186
17,Lamar,7655,0.17
17,Marion,30776,0.683
17,Winston,6651,0.148
18,Colbert,14446,0.317
18,Franklin,25000,0.548
18,Lauderdale,6139,0.135
19,Madison,45064,1
20,Madison,45808,1
21,Madison,45625,1
22,Jackson,8837,0.193
22,Madison,37039,0.807
23,DeKalb,1582,0.034
23,Jackson,44390,0.966
24,DeKalb,45972,1
25,Limestone,7557,0.165
25,Madison,38152,0.835
26,DeKalb,6733,0.147
26,Marshall,38988,0.853
27,Blount,2510,0.055
27,DeKalb,3503,0.076
27,Marshall,39814,0.869
28,Etowah,45887,1
29,Calhoun,5362,0.117
29,DeKalb,8728,0.19
29,Etowah,31820,0.693
30,Etowah,26723,0.591
30,St. Clair,18493,0.409
31,Autauga,520,0.011
31,Elmore,45322,0.989
32,Calhoun,23264,0.511
32,Talladega,22240,0.489
33,Clay,2153,0.047
33,Coosa,4654,0.101
33,Talladega,39098,0.852
34,Blount,36467,0.803
34,Marshall,8919,0.197
35,Calhoun,12063,0.262
35,Clay,11779,0.256
35,Coosa,2607,0.057
35,Talladega,19508,0.424
36,Calhoun,25373,0.552
36,St. Clair,19139,0.416
36,Talladega,1445,0.031
37,Chambers,16891,0.367
