HD #,County,County Pop. in HD,% of HD in County
1,Miller,29164,1
2,Columbia,12697,0.425
2,Lafayette,2908,0.097
2,Miller,14298,0.478
3,Hempstead,21834,0.741
3,Nevada,7646,0.259
4,Howard,1564,0.053
4,Little River,13171,0.447
4,Sevier,14733,0.5
5,Columbia,10228,0.353
5,Lafayette,4737,0.163
5,Nevada,1351,0.047
5,Ouachita,12677,0.437
6,Columbia,1627,0.054
6,Ouachita,10163,0.339
6,Union,18179,0.607
7,Calhoun,1458,0.052
7,Ouachita,3280,0.116
7,Union,23460,0.832
8,Ashley,3801,0.132
8,Bradley,11508,0.399
8,Calhoun,3910,0.135
8,Cleveland,1710,0.059
8,Dallas,6344,0.22
8,Drew,1586,0.055
9,Ashley,14012,0.478
9,Drew,15304,0.522
10,Cleveland,6979,0.248
10,Drew,1619,0.058
10,Grant,2752,0.098
10,Jefferson,9723,0.346
10,Lincoln,7059,0.251
11,Ashley,4040,0.14
11,Chicot,11800,0.41
11,Desha,12934,0.45
12,Arkansas,1991,0.068
12,Desha,74,0.003
12,Lincoln,5628,0.191
12,Phillips,21757,0.739
13,Arkansas,15966,0.549
13,Lonoke,3473,0.119
13,Prairie,8642,0.297
13,White,1010,0.035
14,Arkansas,1062,0.036
14,Jefferson,2525,0.086
14,Lonoke,22298,0.762
14,Prairie,73,0.002
14,Pulaski,3309,0.113
15,Grant,15101,0.51
15,Hot Spring,6560,0.222
15,Jefferson,7946,0.268
16,Jefferson,28243,0.951
16,Lincoln,1447,0.049
17,Jefferson,28998,1
18,Clark,19028,0.629
18,Dallas,1772,0.059
18,Garland,7786,0.257
18,Hot Spring,1672,0.055
19,Clark,3967,0.14
19,Hempstead,775,0.027
19,Howard,12225,0.433
19,Pike,11291,0.4
20,Montgomery,8095,0.283
20,Polk,18207,0.636
20,Sevier,2325,0.081
21,Garland,2280,0.077
21,Montgomery,1392,0.047
21,Perry,237,0.008
21,Polk,2455,0.083
21,Scott,9372,0.317
21,Sebastian,13418,0.453
21,Yell,451,0.015
22,Garland,23110,0.8
22,Saline,5789,0.2
23,Saline,29402,1
24,Garland,28857,1
25,Garland,29580,1
26,Garland,4411,0.152
26,Hot Spring,24691,0.848
27,Pulaski,968,0.032
27,Saline,28941,0.968
28,Saline,28868,1
29,Pulaski,30145,1
30,Pulaski,28982,1
31,Pulaski,16120,0.533
31,Saline,14118,0.467
32,Pulaski,28440,1
33,Pulaski,28185,1
34,Pulaski,28671,1
35,Pulaski,28989,1
36,Pulaski,29484,1
37,Pulaski,28865,1
38,Pulaski,29362,1
39,Pulaski,29169,1
40,Faulkner,15957,0.535
40,Pulaski,13892,0.465
41,Pulaski,29117,1
42,Pulaski,29050,1
43,Lonoke,29075,1
44,Faulkner,2750,0.097
44,Lonoke,13510,0.475
44,White,12165,0.428
45,White,28570,1
46,White,28663,1
47,Independence,2116,0.072
47,Jackson,13190,0.451
47,White,6668,0.228
47,Woodruff,7260,0.248
48,Lee,10424,0.351
48,Monroe,3512,0.118
48,St. Francis,15779,0.531
49,Cross,11660,0.405
49,Monroe,4637,0.161
49,St. Francis,12479,0.434
50,Crittenden,22052,0.78
50,Cross,6210,0.22
51,Crittenden,27821,1
52,Craighead,9445,0.313
52,Independence,2525,0.084
52,Jackson,4807,0.159
52,Poinsett,13432,0.445
53,Craighead,28265,1
54,Mississippi,19047,0.631
54,Poinsett,11151,0.369
55,Crittenden,1029,0.036
55,Mississippi,27433,0.964
56,Clay,16083,0.552
56,Greene,10060,0.346
56,Lawrence,2,0
56,Randolph,2968,0.102
