HD #,County,County Pop. in HD,% of HD in County
1,Hartford,23038,1
2,Fairfield,23664,1
3,Hartford,22980,1
4,Hartford,23200,1
5,Hartford,23000,1
6,Hartford,23067,1
7,Hartford,23027,1
8,Tolland,24172,1
9,Hartford,24215,1
10,Hartford,24291,1
11,Hartford,24305,1
12,Hartford,24367,1
13,Hartford,24299,1
14,Hartford,23913,1
15,Hartford,22961,1
16,Hartford,23502,1
17,Hartford,23454,1
18,Hartford,23069,1
19,Hartford,23715,1
20,Hartford,23170,1
21,Hartford,23599,1
22,Hartford,23670,1
23,Middlesex,13280,0.57
23,New London,10009,0.43
24,Hartford,23837,1
25,Hartford,23741,1
26,Hartford,23748,1
27,Hartford,24351,1
28,Hartford,24184,1
29,Hartford,24330,1
30,Hartford,24312,1
31,Hartford,24239,1
32,Middlesex,23513,1
33,Middlesex,23863,1
34,Middlesex,22085,0.953
34,New London,1096,0.047
35,Middlesex,23685,1
36,Middlesex,23652,1
37,New London,23310,1
38,New London,23860,1
39,New London,23526,1
40,New London,22754,1
41,New London,23972,1
42,New London,23663,1
43,New London,23842,1
44,Windham,24020,1
45,New London,16153,0.673
45,Windham,7849,0.327
46,New London,24344,1
47,New London,13340,0.547
47,Windham,11026,0.453
48,New London,19850,0.83
48,Tolland,2754,0.115
48,Windham,1319,0.055
49,Windham,23949,1
50,Tolland,854,0.037
50,Windham,22170,0.963
51,Windham,23778,1
52,Tolland,23531,1
53,Tolland,19815,0.821
53,Windham,4317,0.179
54,Tolland,23792,1
55,Hartford,6404,0.263
55,Tolland,17966,0.737
56,Tolland,24205,1
57,Hartford,7623,0.328
57,Tolland,15602,0.672
58,Hartford,23879,1
59,Hartford,24314,1
60,Hartford,22965,1
61,Hartford,23448,1
62,Hartford,13396,0.554
62,Litchfield,10769,0.446
63,Litchfield,22970,1
64,Litchfield,23168,1
65,Litchfield,23128,1
66,Litchfield,23457,1
67,Litchfield,23716,1
68,Litchfield,23574,1
69,Litchfield,7567,0.313
69,New Haven,16625,0.687
70,New Haven,23582,1
71,New Haven,23429,1
72,New Haven,23262,1
73,New Haven,23937,1
74,New Haven,24139,1
75,New Haven,23174,1
76,Hartford,9301,0.384
76,Litchfield,14909,0.616
77,Hartford,24289,1
78,Hartford,11863,0.492
78,Litchfield,12243,0.508
79,Hartford,24325,1
80,Hartford,6297,0.274
80,New Haven,16680,0.726
81,Hartford,22965,1
82,Middlesex,4425,0.186
82,New Haven,19386,0.814
83,Hartford,5328,0.228
83,New Haven,18060,0.772
84,New Haven,23422,1
85,New Haven,22963,1
86,Middlesex,2695,0.117
86,New Haven,20330,0.883
87,New Haven,24093,1
88,New Haven,24378,1
89,New Haven,23020,1
90,New Haven,22959,1
91,New Haven,24374,1
92,New Haven,24195,1
93,New Haven,24165,1
94,New Haven,24376,1
95,New Haven,24328,1
96,New Haven,24371,1
97,New Haven,24372,1
98,New Haven,22961,1
99,New Haven,24374,1
100,Middlesex,23785,1
101,Middlesex,4693,0.204
101,New Haven,18269,0.796
102,New Haven,22967,1
103,Hartford,4033,0.175
103,New Haven,18972,0.825
104,New Haven,24249,1
105,New Haven,24041,1
106,Fairfield,22971,1
107,Fairfield,24008,1
108,Fairfield,19105,0.812
108,Litchfield,4426,0.188
109,Fairfield,24064,1
110,Fairfield,24248,1
111,Fairfield,23485,1
112,Fairfield,22990,1
113,Fairfield,23093,1
114,New Haven,22983,1
115,New Haven,22991,1
116,New Haven,23101,1
117,New Haven,23278,1
118,New Haven,23151,1
119,New Haven,23278,1
120,Fairfield,23355,1
121,Fairfield,23298,1
122,Fairfield,23099,1
123,Fairfield,23817,1
124,Fairfield,24105,1
125,Fairfield,22962,1
126,Fairfield,24182,1
127,Fairfield,23949,1
128,Fairfield,23865,1
129,Fairfield,24361,1
130,Fairfield,23767,1
131,New Haven,24242,1
132,Fairfield,23535,1
133,Fairfield,22991,1
134,Fairfield,23177,1
135,Fairfield,23691,1
136,Fairfield,24340,1
137,Fairfield,24341,1
138,Fairfield,23669,1
139,New London,24336,1
140,Fairfield,23638,1
141,Fairfield,23577,1
142,Fairfield,24126,1
143,Fairfield,24135,1
144,Fairfield,23269,1
145,Fairfield,23372,1
146,Fairfield,24258,1
147,Fairfield,23173,1
148,Fairfield,24227,1
149,Fairfield,22979,1
150,Fairfield,22966,1
151,Fairfield,22977,1
