HD #,County,County Pop. in HD,% of HD in County
1,New Castle,21031,1
2,New Castle,20916,1
3,New Castle,21368,1
4,New Castle,21075,1
5,New Castle,21652,1
6,New Castle,21894,1
7,New Castle,20971,1
8,New Castle,22759,1
9,New Castle,21263,1
10,New Castle,21670,1
11,Kent,12484,0.597
11,New Castle,8431,0.403
12,New Castle,22964,1
13,New Castle,22933,1
14,Sussex,21224,1
15,New Castle,22758,1
16,New Castle,21218,1
17,New Castle,22445,1
18,New Castle,22864,1
19,New Castle,22764,1
20,Sussex,21216,1
21,New Castle,22794,1
22,New Castle,22916,1
23,New Castle,22744,1
24,New Castle,22687,1
25,New Castle,21763,1
26,New Castle,22656,1
27,New Castle,21943,1
28,Kent,21111,1
29,Kent,20818,1
30,Kent,20856,1
31,Kent,22894,1
32,Kent,21449,1
33,Kent,21462,1
34,Kent,21236,1
35,Sussex,20887,1
36,Sussex,20870,1
37,Sussex,22891,1
38,Sussex,22043,1
39,Sussex,22423,1
40,Sussex,22598,1
41,Sussex,22993,1
