HD #,County,County Pop. in HD,% of HD in County
1,Dade,16633,0.31
1,Walker,36979,0.69
2,Catoosa,10576,0.196
2,Walker,31777,0.589
2,Whitfield,11557,0.214
3,Catoosa,53366,1
4,Whitfield,54120,1
5,Gordon,47428,0.885
5,Murray,6161,0.115
6,Murray,17046,0.316
6,Whitfield,36922,0.684
7,Dawson,2084,0.039
7,Fannin,23682,0.438
7,Gilmer,28292,0.523
8,Rabun,16276,0.302
8,Towns,10471,0.194
8,Union,21356,0.396
8,White,5802,0.108
9,Dawson,20246,0.373
9,Forsyth,4077,0.075
9,Lumpkin,29966,0.552
10,Habersham,34173,0.64
10,White,19255,0.36
11,Gordon,7758,0.145
11,Murray,16421,0.306
11,Pickens,29431,0.549
12,Chattooga,26015,0.479
12,Floyd,28302,0.521
13,Floyd,53433,1
14,Bartow,38957,0.728
14,Floyd,14582,0.272
15,Bartow,53473,1
16,Bartow,7727,0.143
16,Haralson,4724,0.088
16,Polk,41475,0.769
17,Paulding,54036,1
18,Carroll,29626,0.552
18,Haralson,24056,0.448
19,Paulding,54164,1
20,Cherokee,53679,1
21,Cherokee,54040,1
22,Cherokee,35523,0.657
22,Forsyth,15659,0.289
22,Fulton,2908,0.054
23,Cherokee,53852,1
24,Forsyth,54284,1
25,Forsyth,47180,0.871
25,Fulton,6977,0.129
26,Forsyth,54311,1
27,Hall,51239,0.961
27,White,2087,0.039
28,Banks,18395,0.344
28,Habersham,8868,0.166
28,Stephens,26175,0.49
29,Hall,53527,1
30,Hall,53787,1
31,Jackson,53585,1
32,Franklin,22084,0.409
32,Hart,25213,0.467
32,Madison,6720,0.124
33,Columbia,1176,0.022
33,Elbert,20166,0.377
33,Lincoln,7996,0.149
33,Madison,21400,0.4
33,Wilkes,2799,0.052
34,Cobb,54162,1
35,Cobb,53394,1
36,Cobb,54192,1
37,Cobb,54233,1
38,Cobb,53921,1
39,Cobb,54192,1
40,Cobb,50647,0.938
40,Fulton,3331,0.062
41,Cobb,54148,1
42,Cobb,53894,1
43,Cobb,53969,1
44,Cobb,53480,1
45,Cobb,45820,0.849
45,Fulton,8149,0.151
46,Cherokee,17252,0.321
46,Cobb,36460,0.679
47,Fulton,54102,1
48,Fulton,53832,1
49,Fulton,53609,1
50,Fulton,53486,1
51,Fulton,53630,1
52,Fulton,53458,1
53,Cobb,10078,0.188
53,Fulton,43419,0.812
54,Fulton,53576,1
55,Fulton,53842,1
56,Fulton,53564,1
57,Fulton,54205,1
58,Fulton,53635,1
59,Fulton,53372,1
60,Clayton,17016,0.317
60,Fulton,36661,0.683
61,Cobb,5488,0.101
61,Douglas,24244,0.447
61,Fulton,24492,0.452
62,Douglas,20802,0.387
62,Fulton,32938,0.613
63,Clayton,6775,0.127
63,Fayette,24649,0.46
63,Fulton,22123,0.413
64,Fayette,23005,0.426
64,Fulton,30947,0.574
65,Douglas,7551,0.139
65,Fulton,46747,0.861
66,Douglas,41964,0.775
66,Paulding,12166,0.225
67,Douglas,32272,0.595
