HD #,County,County Pop. in HD,% of HD in County
1,Hawaii,26763,1
2,Hawaii,26446,1
3,Hawaii,26032,1
4,Hawaii,27074,1
5,Hawaii,26252,1
6,Hawaii,26325,1
7,Hawaii,26187,1
8,Maui,26928,1
9,Maui,27045,1
10,Maui,24585,1
11,Maui,24815,1
12,Maui,25553,1
13,Kalawao,90,0.003
13,Maui,25908,0.997
14,Kauai,22810,1
15,Kauai,21955,1
16,Kauai,22326,1
17,Honolulu,25056,1
18,Honolulu,24897,1
19,Honolulu,24666,1
20,Honolulu,25405,1
21,Honolulu,25405,1
22,Honolulu,26352,1
23,Honolulu,26004,1
24,Honolulu,25380,1
25,Honolulu,24805,1
26,Honolulu,25130,1
27,Honolulu,24514,1
28,Honolulu,24629,1
29,Honolulu,24643,1
30,Honolulu,31537,1
31,Honolulu,31553,1
32,Honolulu,25649,1
33,Honolulu,25538,1
34,Honolulu,27014,1
35,Honolulu,30714,1
36,Honolulu,28107,1
37,Honolulu,27795,1
38,Honolulu,26740,1
39,Honolulu,28115,1
40,Honolulu,28985,1
41,Honolulu,28904,1
42,Honolulu,28145,1
43,Honolulu,27520,1
44,Honolulu,26678,1
45,Honolulu,32774,1
46,Honolulu,28715,1
47,Honolulu,27582,1
48,Honolulu,27348,1
49,Honolulu,27209,1
50,Honolulu,33744,1
51,Honolulu,25955,1
