HD #,County,County Pop. in HD,% of HD in County
1,Lake,65338,1
2,Lake,64742,1
3,Lake,64574,1
4,Porter,64610,1
5,St. Joseph,64704,1
6,St. Joseph,64590,1
7,St. Joseph,64743,1
8,LaPorte,6694,0.103
8,St. Joseph,58184,0.897
9,LaPorte,53544,0.825
9,Porter,11327,0.175
10,Porter,64763,1
11,Lake,45886,0.712
11,Porter,18556,0.288
12,Lake,65385,1
13,Benton,8854,0.137
13,Fountain,12124,0.187
13,Jasper,2584,0.04
13,Montgomery,4111,0.064
13,Newton,5009,0.077
13,Tippecanoe,21740,0.336
13,Warren,8090,0.125
13,White,2193,0.034
14,Lake,65082,1
15,Lake,64849,1
16,Fulton,1966,0.03
16,Jasper,30894,0.474
16,Newton,9235,0.142
16,Pulaski,13402,0.206
16,Starke,9622,0.148
17,Fulton,17256,0.268
17,Marshall,47051,0.732
18,Grant,3576,0.055
18,Kosciusko,26646,0.41
18,Miami,1956,0.03
18,Wabash,32888,0.505
19,Lake,60149,0.922
19,Porter,5087,0.078
20,LaPorte,51229,0.789
20,Starke,13741,0.211
21,Elkhart,50586,0.775
21,St. Joseph,14710,0.225
22,Elkhart,14335,0.22
22,Kosciusko,50712,0.78
23,Cass,28283,0.436
23,Fulton,1614,0.025
23,Miami,34947,0.539
24,Boone,25085,0.384
24,Hamilton,40296,0.616
25,Carroll,12193,0.189
25,Cass,4857,0.075
25,Clinton,6075,0.094
25,Tippecanoe,18804,0.292
25,White,22450,0.349
26,Tippecanoe,65085,1
27,Tippecanoe,64555,1
28,Boone,2866,0.044
28,Hendricks,61618,0.956
29,Hamilton,64546,1
30,Grant,8055,0.123
30,Howard,57347,0.877
31,Blackford,12621,0.196
31,Delaware,6925,0.107
31,Grant,43103,0.669
31,Wells,1773,0.028
32,Delaware,2027,0.031
32,Grant,15327,0.237
32,Hamilton,27310,0.422
32,Howard,1029,0.016
32,Madison,3029,0.047
32,Tipton,15936,0.246
33,Blackford,145,0.002
33,Delaware,17467,0.269
33,Jay,21253,0.327
33,Randolph,26171,0.402
