HD #,County,County Pop. in HD,% of HD in County
1,Ballard,8249,0.199
1,Carlisle,5104,0.123
1,Fulton,6813,0.164
1,Hickman,4902,0.118
1,McCracken,16419,0.396
2,Graves,37121,0.869
2,McCracken,5611,0.131
3,McCracken,41319,1
4,Caldwell,12984,0.312
4,Christian,9739,0.234
4,Crittenden,9315,0.224
4,Livingston,9519,0.229
5,Calloway,37191,0.82
5,Trigg,8171,0.18
6,Lyon,8314,0.198
6,McCracken,2216,0.053
6,Marshall,31448,0.749
7,Daviess,22616,0.516
7,Henderson,6204,0.142
7,Union,15007,0.342
8,Christian,39354,0.865
8,Trigg,6168,0.135
9,Christian,24862,0.603
9,Hopkins,16395,0.397
10,Breckinridge,20059,0.448
10,Hancock,8565,0.191
10,Hardin,16119,0.36
11,Daviess,4113,0.093
11,Henderson,40046,0.907
12,Daviess,5731,0.126
12,Hopkins,16516,0.364
12,McLean,9531,0.21
12,Webster,13621,0.3
13,Daviess,43713,1
14,Daviess,20483,0.462
14,Ohio,23842,0.538
15,Hopkins,14009,0.308
15,Muhlenberg,31499,0.692
16,Logan,26835,0.646
16,Todd,12460,0.3
16,Warren,2253,0.054
17,Butler,12690,0.3
17,Warren,29556,0.7
18,Grayson,25746,0.602
18,Hardin,17017,0.398
19,Edmonson,12161,0.27
19,Warren,32934,0.73
20,Warren,43618,1
21,Hardin,2279,0.055
21,Hart,18199,0.438
21,Metcalfe,10099,0.243
21,Monroe,10963,0.264
22,Allen,19956,0.472
22,Simpson,17327,0.41
22,Warren,4986,0.118
23,Barren,42173,0.99
23,Warren,445,0.01
24,Green,11258,0.249
24,Larue,14193,0.314
24,Marion,19820,0.438
25,Hardin,42178,1
26,Bullitt,29407,0.694
26,Hardin,12995,0.306
27,Hardin,14955,0.343
27,Meade,28602,0.657
28,Jefferson,41468,1
29,Jefferson,41457,1
30,Jefferson,41529,1
31,Jefferson,41374,1
32,Jefferson,42068,1
33,Jefferson,36767,0.818
33,Oldham,8200,0.182
34,Jefferson,41376,1
35,Jefferson,41393,1
36,Jefferson,42259,0.955
36,Oldham,2002,0.045
37,Jefferson,41246,1
38,Jefferson,41578,1
39,Fayette,5391,0.128
39,Jessamine,36755,0.872
40,Jefferson,42181,1
41,Jefferson,41326,1
42,Jefferson,41476,1
43,Jefferson,41676,1
44,Jefferson,41514,1
45,Fayette,44930,1
46,Jefferson,41643,1
47,Carroll,10811,0.248
47,Gallatin,8589,0.197
47,Henry,15416,0.353
47,Trimble,8809,0.202
48,Jefferson,38765,0.889
48,Oldham,4834,0.111
49,Bullitt,41858,1
50,Nelson,43437,1
51,Adair,18656,0.432
51,Taylor,24512,0.568
52,McCreary,18306,0.404
52,Pulaski,6185,0.137
52,Wayne,20813,0.459
53,Anderson,21421,0.516
53,Bullitt,3054,0.074
53,Spencer,17061,0.411
54,Boyle,28432,0.64
54,Casey,15955,0.359
54,Lincoln,5,0
55,Jessamine,11831,0.264
55,Mercer,21331,0.475
55,Washington,11717,0.261
56,Fayette,13199,0.3
56,Franklin,5922,0.134
56,Woodford,24939,0.566
57,Franklin,43363,1
58,Shelby,42074,1
59,Oldham,45280,1
60,Boone,45347,1
61,Boone,1633,0.036
61,Grant,24662,0.544
61,Kenton,10445,0.23
