HD #,Parish,Parish Pop. in HD,% of HD in Parish
1,Bossier,6666,0.16
1,Caddo,34960,0.84
2,Bossier,6935,0.158
2,Caddo,36976,0.842
3,Caddo,41814,1
4,Caddo,42595,1
5,Caddo,41713,1
6,Bossier,11242,0.261
6,Caddo,31896,0.739
7,Caddo,25015,0.559
7,De Soto,15773,0.352
7,Sabine,3982,0.089
8,Bossier,44977,1
9,Bossier,44949,1
10,Bossier,2210,0.051
10,Webster,41207,0.949
11,Bienville,3494,0.078
11,Claiborne,17195,0.382
11,Lincoln,24292,0.54
12,Lincoln,22443,0.497
12,Union,22721,0.503
13,Bienville,10859,0.246
13,Jackson,16274,0.369
13,Ouachita,2163,0.049
13,Winn,14859,0.337
14,Morehouse,7194,0.162
14,Ouachita,37321,0.838
15,Ouachita,43657,1
16,Morehouse,16072,0.377
16,Ouachita,26536,0.623
17,Ouachita,43019,1
18,Iberville,1894,0.045
18,Pointe Coupee,22802,0.546
18,West Baton Rouge,11040,0.264
18,West Feliciana,6005,0.144
19,East Carroll,1590,0.036
19,Madison,4598,0.104
19,Morehouse,4713,0.106
19,Ouachita,1024,0.023
19,Richland,20725,0.468
19,West Carroll,11604,0.262
20,Caldwell,10132,0.224
20,Catahoula,8626,0.191
20,Franklin,20767,0.459
20,La Salle,5366,0.119
20,Tensas,336,0.007
21,Catahoula,1781,0.043
21,Concordia,20822,0.506
21,East Carroll,6169,0.15
21,Madison,7495,0.182
21,Tensas,4916,0.119
22,Grant,22309,0.501
22,La Salle,9524,0.214
22,Natchitoches,6144,0.138
22,Red River,6139,0.138
22,Winn,454,0.01
23,De Soto,10883,0.255
23,Natchitoches,28869,0.676
23,Red River,2952,0.069
24,Natchitoches,4553,0.101
24,Sabine,20251,0.448
24,Vernon,20432,0.452
25,Rapides,44424,1
26,Rapides,42553,1
27,Rapides,44636,1
28,Avoyelles,42073,1
29,East Baton Rouge,28461,0.691
29,West Baton Rouge,12748,0.309
30,Beauregard,13279,0.294
30,Vernon,31902,0.706
31,Lafayette,38458,0.918
31,Vermilion,3431,0.082
32,Allen,25764,0.576
32,Beauregard,13827,0.309
32,Calcasieu,5124,0.115
33,Calcasieu,45072,1
34,Calcasieu,45041,1
35,Beauregard,8548,0.19
35,Calcasieu,36480,0.81
36,Calcasieu,44320,1
37,Calcasieu,12255,0.279
37,Jefferson Davis,31594,0.721
38,Evangeline,29672,0.697
38,St. Landry,12923,0.303
39,Lafayette,35518,0.793
39,St. Landry,9268,0.207
40,St. Landry,41047,1
41,Acadia,23624,0.547
41,Evangeline,4312,0.1
41,St. Landry,15267,0.353
42,Acadia,38149,0.925
42,Lafayette,3087,0.075
43,Lafayette,42313,1
44,Lafayette,41586,1
45,Lafayette,43388,1
46,Iberia,3286,0.08
46,St. Landry,4879,0.118
46,St. Martin,33132,0.802
47,Calcasieu,4476,0.099
47,Cameron,6839,0.152
47,Vermilion,33792,0.749
48,Iberia,31468,0.735
48,Lafayette,8895,0.208
48,St. Martin,2456,0.057
49,Iberia,20341,0.495
49,Vermilion,20776,0.505
50,St. Martin,1443,0.032
50,St. Mary,43734,0.968
51,Assumption,5749,0.128
51,Lafourche,2078,0.046
51,St. Mary,10916,0.243
51,Terrebonne,26261,0.584
52,Lafourche,4433,0.098
52,Terrebonne,40878,0.902
53,Lafourche,538,0.012
53,Terrebonne,44721,0.988
54,Jefferson,1296,0.029
54,Lafourche,44018,0.971
55,Lafourche,45251,1
56,St. Charles,41919,0.925
56,St. John the Baptist,3396,0.075
57,St. Charles,8764,0.199
57,St. John the Baptist,35348,0.801
58,Ascension,18890,0.458
58,Iberville,7025,0.17
58,St. James,15338,0.372
59,Ascension,41749,1
60,Assumption,17672,0.419
60,Iberville,24468,0.581
61,East Baton Rouge,42061,1
62,East Baton Rouge,13173,0.32
62,East Feliciana,18377,0.446
62,West Feliciana,9620,0.234
63,East Baton Rouge,42487,1
64,East Baton Rouge,17916,0.436
64,Livingston,23185,0.564
65,East Baton Rouge,41832,1
66,East Baton Rouge,44049,1
67,East Baton Rouge,41585,1
68,East Baton Rouge,41230,1
69,East Baton Rouge,42600,1
70,East Baton Rouge,41941,1
71,Livingston,41514,1
72,East Feliciana,1890,0.045
72,St. Helena,11203,0.266
72,Tangipahoa,29012,0.689
73,Tangipahoa,41407,1
74,St. Tammany,25466,0.619
74,Tangipahoa,8790,0.214
74,Washington,6896,0.168
75,St. Tammany,798,0.019
75,Washington,40272,0.981
76,St. Tammany,41255,1
77,St. Tammany,41591,1
78,Jefferson,44733,1
79,Jefferson,44927,1
80,Jefferson,45222,1
81,Ascension,4945,0.12
81,Livingston,22243,0.541
81,St. James,6764,0.164
81,St. John the Baptist,7180,0.175
82,Jefferson,45054,1
83,Jefferson,44983,1
84,Jefferson,41352,1
85,Jefferson,44327,1
86,Tangipahoa,41888,1
87,Jefferson,41461,1
88,Ascension,41631,1
89,St. Tammany,41737,1
90,St. Tammany,41650,1
91,Orleans,45109,1
92,Jefferson,42894,0.953
92,St. Charles,2097,0.047
93,Orleans,45297,1
94,Jefferson,20952,0.466
94,Orleans,24001,0.534
95,Livingston,41084,1
96,Iberia,18145,0.436
96,Lafayette,8333,0.2
96,St. Martin,15129,0.364
97,Orleans,43541,1
98,Orleans,44771,1
99,Orleans,41505,1
100,Orleans,41668,1
101,East Baton Rouge,42836,1
102,Orleans,44310,1
103,Orleans,5152,0.12
103,Plaquemines,1943,0.045
103,St. Bernard,35897,0.835
104,St. Tammany,41243,1
105,Jefferson,15351,0.342
105,Orleans,8475,0.189
105,Plaquemines,21099,0.47
