HD #,County,County Pop. in HD,% of HD in County
1st Barnstable,Barnstable,41451,1
2nd Barnstable,Barnstable,40964,1
3rd Barnstable,Barnstable,42635,1
4th Barnstable,Barnstable,40252,1
"Barnstable, Dukes & Nantucket",Barnstable,14104,0.346
"Barnstable, Dukes & Nantucket",Dukes,16535,0.405
"Barnstable, Dukes & Nantucket",Nantucket,10172,0.249
1st Berkshire,Berkshire,39672,1
2nd Berkshire,Berkshire,14331,0.34
2nd Berkshire,Franklin,27822,0.66
3rd Berkshire,Berkshire,41632,1
4th Berkshire,Berkshire,35584,0.911
4th Berkshire,Hampden,3493,0.089
1st Bristol,Bristol,22900,0.576
1st Bristol,Norfolk,16865,0.424
2nd Bristol,Bristol,39950,1
3rd Bristol,Bristol,42201,1
4th Bristol,Bristol,39441,1
5th Bristol,Bristol,41773,1
6th Bristol,Bristol,42605,1
7th Bristol,Bristol,39365,1
8th Bristol,Bristol,39083,1
9th Bristol,Bristol,42195,1
10th Bristol,Bristol,23998,0.597
10th Bristol,Plymouth,16184,0.403
11th Bristol,Bristol,39731,1
12th Bristol,Bristol,16932,0.432
12th Bristol,Plymouth,22238,0.568
13th Bristol,Bristol,41562,1
14th Bristol,Bristol,39970,1
1st Essex,Essex,41982,1
2nd Essex,Essex,42873,1
3rd Essex,Essex,41064,1
4th Essex,Essex,42891,1
5th Essex,Essex,39245,1
6th Essex,Essex,39502,1
7th Essex,Essex,41340,1
8th Essex,Essex,39980,1
9th Essex,Essex,27810,0.66
9th Essex,Middlesex,14297,0.339
9th Essex,Suffolk,9,0
10th Essex,Essex,41618,1
11th Essex,Essex,39264,1
12th Essex,Essex,39947,1
13th Essex,Essex,42900,1
14th Essex,Essex,42409,1
15th Essex,Essex,42687,1
16th Essex,Essex,41039,1
17th Essex,Essex,40973,1
1st Franklin,Franklin,29793,0.722
1st Franklin,Hampden,1337,0.032
1st Franklin,Hampshire,10135,0.246
2nd Franklin,Franklin,13757,0.334
2nd Franklin,Hampshire,3612,0.088
2nd Franklin,Worcester,23771,0.578
1st Hampden,Hampden,20064,0.487
1st Hampden,Hampshire,6697,0.163
1st Hampden,Worcester,14403,0.35
2nd Hampden,Hampden,41215,1
3rd Hampden,Hampden,39506,1
4th Hampden,Hampden,41094,1
5th Hampden,Hampden,39880,1
6th Hampden,Hampden,39948,1
7th Hampden,Hampden,31647,0.741
7th Hampden,Hampshire,11037,0.259
8th Hampden,Hampden,40028,1
9th Hampden,Hampden,41934,1
10th Hampden,Hampden,42688,1
11th Hampden,Hampden,40284,1
12th Hampden,Hampden,39534,1
18th Essex,Essex,34865,0.832
18th Essex,Middlesex,7062,0.168
1st Hampshire,Hampden,838,0.021
1st Hampshire,Hampshire,39227,0.979
2nd Hampshire,Hampshire,41895,1
3rd Hampshire,Hampshire,42302,1
1st Middlesex,Middlesex,41064,1
2nd Middlesex,Middlesex,41961,1
3rd Middlesex,Middlesex,35759,0.88
3rd Middlesex,Worcester,4897,0.12
4th Middlesex,Middlesex,27610,0.655
4th Middlesex,Worcester,14528,0.345
5th Middlesex,Middlesex,37125,0.878
5th Middlesex,Norfolk,5180,0.122
6th Middlesex,Middlesex,41859,1
7th Middlesex,Middlesex,39335,1
8th Middlesex,Middlesex,28472,0.68
8th Middlesex,Worcester,13376,0.32
9th Middlesex,Middlesex,40086,1
10th Middlesex,Middlesex,40098,1
11th Middlesex,Middlesex,39555,1
12th Middlesex,Middlesex,40320,1
13th Middlesex,Middlesex,41966,1
14th Middlesex,Middlesex,40844,1
15th Middlesex,Middlesex,42292,1
16th Middlesex,Middlesex,41528,1
17th Middlesex,Middlesex,41046,1
18th Middlesex,Middlesex,39149,1
19th Middlesex,Middlesex,40627,1
20th Middlesex,Essex,15480,0.361
20th Middlesex,Middlesex,27350,0.639
21st Middlesex,Middlesex,41415,1
22nd Middlesex,Middlesex,40243,1
23rd Middlesex,Middlesex,42890,1
24th Middlesex,Middlesex,41454,1
25th Middlesex,Middlesex,41376,1
26th Middlesex,Middlesex,40139,1
27th Middlesex,Middlesex,39479,1
28th Middlesex,Middlesex,41667,1
29th Middlesex,Middlesex,39934,1
30th Middlesex,Middlesex,39511,1
31st Middlesex,Middlesex,42811,1
32nd Middlesex,Middlesex,41331,1
33rd Middlesex,Middlesex,40759,1
34th Middlesex,Middlesex,42327,1
35th Middlesex,Middlesex,40073,1
36th Middlesex,Middlesex,40749,1
37th Middlesex,Middlesex,27004,0.655
37th Middlesex,Worcester,14199,0.345
18th Worcester,Worcester,41144,1
5th Barnstable,Barnstable,36482,0.906
5th Barnstable,Plymouth,3801,0.094
1st Norfolk,Norfolk,41361,1
2nd Norfolk,Norfolk,40055,1
3rd Norfolk,Norfolk,41605,1
4th Norfolk,Norfolk,38785,0.91
4th Norfolk,Plymouth,3815,0.09
5th Norfolk,Norfolk,41176,1
6th Norfolk,Norfolk,39329,1
7th Norfolk,Norfolk,40213,1
8th Norfolk,Bristol,3909,0.095
8th Norfolk,Norfolk,37334,0.905
9th Norfolk,Norfolk,42375,1
10th Norfolk,Norfolk,41302,1
11th Norfolk,Norfolk,42281,1
12th Norfolk,Norfolk,40451,1
13th Norfolk,Norfolk,40396,1
14th Norfolk,Middlesex,14554,0.342
14th Norfolk,Norfolk,27982,0.658
15th Norfolk,Norfolk,39927,1
1st Plymouth,Plymouth,41294,1
2nd Plymouth,Plymouth,41036,1
3rd Plymouth,Norfolk,7542,0.193
3rd Plymouth,Plymouth,31598,0.807
4th Plymouth,Plymouth,40302,1
5th Plymouth,Plymouth,41874,1
6th Plymouth,Plymouth,40518,1
7th Plymouth,Plymouth,40818,1
8th Plymouth,Bristol,13383,0.335
8th Plymouth,Plymouth,26563,0.665
9th Plymouth,Plymouth,40284,1
10th Plymouth,Plymouth,40300,1
11th Plymouth,Bristol,19287,0.45
11th Plymouth,Plymouth,23592,0.55
12th Plymouth,Plymouth,40702,1
1st Suffolk,Suffolk,40508,1
2nd Suffolk,Suffolk,42801,1
3rd Suffolk,Suffolk,40058,1
4th Suffolk,Suffolk,39513,1
5th Suffolk,Suffolk,39677,1
6th Suffolk,Suffolk,39250,1
7th Suffolk,Suffolk,40030,1
8th Suffolk,Middlesex,15964,0.373
8th Suffolk,Suffolk,26883,0.627
9th Suffolk,Suffolk,42101,1
10th Suffolk,Norfolk,11411,0.283
10th Suffolk,Suffolk,28899,0.717
11th Suffolk,Suffolk,38925,1
12th Suffolk,Norfolk,5496,0.14
12th Suffolk,Suffolk,33802,0.86
13th Suffolk,Norfolk,2973,0.072
13th Suffolk,Suffolk,38197,0.928
14th Suffolk,Suffolk,39110,1
15th Suffolk,Norfolk,3794,0.096
15th Suffolk,Suffolk,35875,0.904
16th Suffolk,Essex,5290,0.123
16th Suffolk,Suffolk,37613,0.877
17th Suffolk,Suffolk,39689,1
18th Suffolk,Norfolk,3600,0.085
18th Suffolk,Suffolk,38638,0.915
19th Suffolk,Suffolk,40445,1
1st Worcester,Worcester,40974,1
2nd Worcester,Worcester,40291,1
3rd Worcester,Worcester,42725,1
4th Worcester,Worcester,40759,1
5th Worcester,Hampshire,3175,0.076
5th Worcester,Worcester,38385,0.924
6th Worcester,Worcester,40737,1
7th Worcester,Worcester,39496,1
8th Worcester,Norfolk,16332,0.389
8th Worcester,Worcester,25673,0.611
9th Worcester,Worcester,41014,1
10th Worcester,Norfolk,3085,0.072
10th Worcester,Worcester,39749,0.928
11th Worcester,Worcester,42838,1
12th Worcester,Worcester,39909,1
13th Worcester,Worcester,40002,1
14th Worcester,Worcester,40433,1
15th Worcester,Worcester,39568,1
16th Worcester,Worcester,40330,1
17th Worcester,Worcester,39351,1
