HD #,County,County Pop. in HD,% of HD in County
1A,Allegany,10747,0.263
1A,Garrett,30097,0.737
1B,Allegany,41782,1
1C,Allegany,22558,0.555
1C,Washington,18112,0.445
2A,Washington,89067,1
2B,Washington,40251,1
3A,Frederick,78402,1
3B,Frederick,39409,1
4,Carroll,12517,0.098
4,Frederick,115574,0.902
5,Carroll,128134,1
6,Baltimore,122723,1
7,Baltimore,66672,0.52
7,Harford,61575,0.48
8,Baltimore,124285,1
9A,Carroll,26483,0.308
9A,Howard,59631,0.692
9B,Howard,42316,1
10,Baltimore,116793,1
11,Baltimore,117034,1
12,Baltimore,56613,0.473
12,Howard,63086,0.527
13,Howard,122052,1
14,Montgomery,125800,1
15,Montgomery,119961,1
16,Montgomery,121044,1
17,Montgomery,127326,1
18,Montgomery,119827,1
19,Montgomery,121546,1
20,Montgomery,117716,1
21,Anne Arundel,26425,0.206
21,Prince Georges,101585,0.794
22,Prince Georges,126674,1
23A,Prince Georges,39501,1
23B,Prince Georges,77943,1
24,Prince Georges,117361,1
25,Prince Georges,116958,1
26,Prince Georges,117023,1
27A,Charles,18502,0.437
27A,Prince Georges,23850,0.563
27B,Calvert,24120,0.567
27B,Prince Georges,18417,0.433
27C,Calvert,42711,1
28,Charles,128049,1
29A,St. Marys,42641,1
29B,St. Marys,41755,1
29C,Calvert,21906,0.513
29C,St. Marys,20755,0.487
30A,Anne Arundel,82284,1
30B,Anne Arundel,41104,1
31A,Anne Arundel,42639,1
31B,Anne Arundel,84634,1
32,Anne Arundel,132253,1
33,Anne Arundel,128317,1
34A,Harford,77896,1
34B,Harford,42823,1
35A,Cecil,42419,1
35B,Cecil,22748,0.267
35B,Harford,62532,0.733
36,Caroline,24181,0.189
36,Cecil,35941,0.281
36,Kent,20197,0.158
36,Queen Annes,47798,0.373
37A,Dorchester,13620,0.329
37A,Wicomico,27814,0.671
37B,Caroline,8885,0.104
37B,Dorchester,18998,0.223
37B,Talbot,37782,0.443
37B,Wicomico,19689,0.231
38A,Somerset,26470,0.586
38A,Worcester,18709,0.414
38B,Wicomico,42458,1
38C,Wicomico,8772,0.211
38C,Worcester,32745,0.789
39,Montgomery,118557,1
40,Baltimore city,115478,1
41,Baltimore city,116108,1
42A,Baltimore,41198,1
42B,Baltimore,81925,1
43,Baltimore city,116032,1
44A,Baltimore city,39545,1
44B,Baltimore,77786,1
45,Baltimore city,115380,1
46,Baltimore city,118418,1
47A,Prince Georges,83430,1
47B,Prince Georges,40678,1
