HD #,County,County Pop. in HD,% of HD in County
1,York,8566,1
2,York,8733,1
3,York,8804,1
4,York,8701,1
5,York,8704,1
6,York,8733,1
7,York,8719,1
8,York,8984,1
9,York,8857,1
10,York,9058,1
11,York,9182,1
12,York,8526,1
13,York,8624,1
14,York,9179,1
15,York,8994,1
16,York,9167,1
17,York,8966,1
18,York,8967,1
19,York,8617,1
20,York,9219,1
21,York,9209,1
22,Cumberland,698,0.076
22,York,8516,0.924
23,Cumberland,9176,1
24,Cumberland,8599,1
25,Cumberland,8402,1
26,Cumberland,8861,1
27,Cumberland,8708,1
28,Cumberland,8885,1
29,Cumberland,8846,1
30,Cumberland,8502,1
31,Cumberland,8513,1
32,Cumberland,8555,1
33,Cumberland,8447,1
34,Cumberland,8982,1
35,Cumberland,8512,1
36,Cumberland,8437,1
37,Cumberland,8419,1
38,Cumberland,8429,1
39,Cumberland,8800,1
40,Cumberland,8534,1
41,Cumberland,8512,1
42,Cumberland,8605,1
43,Cumberland,8742,1
44,Cumberland,8901,1
45,Cumberland,8436,1
46,Androscoggin,3848,0.459
46,Cumberland,4535,0.541
47,Cumberland,8920,1
48,Cumberland,8383,1
49,Cumberland,9222,1
50,Cumberland,8945,1
51,Cumberland,6851,0.785
51,Sagadahoc,1877,0.215
52,Sagadahoc,8514,1
53,Lincoln,1672,0.195
53,Sagadahoc,6885,0.805
54,Sagadahoc,8784,1
55,Sagadahoc,9233,1
56,Androscoggin,9009,1
57,Androscoggin,9226,1
58,Androscoggin,9137,1
59,Androscoggin,9181,1
60,Androscoggin,9076,1
61,Androscoggin,9198,1
62,Androscoggin,8363,1
63,Androscoggin,8855,1
64,Androscoggin,8444,1
65,Androscoggin,3074,0.357
65,Cumberland,5542,0.643
66,Androscoggin,2302,0.27
66,Cumberland,6232,0.73
67,Cumberland,8487,1
68,Cumberland,7116,0.772
68,York,2106,0.228
69,Cumberland,7940,0.874
69,Oxford,1148,0.126
70,Oxford,9206,1
71,Oxford,8770,1
72,Androscoggin,3031,0.34
72,Oxford,5880,0.66
73,Oxford,8608,1
74,Androscoggin,4269,0.468
74,Franklin,4851,0.532
75,Androscoggin,9073,1
76,Kennebec,8738,1
77,Kennebec,8647,1
78,Kennebec,8404,1
79,Kennebec,8534,1
80,Kennebec,8338,0.938
80,Lincoln,549,0.062
81,Kennebec,9002,1
82,Androscoggin,1616,0.179
82,Kennebec,7416,0.821
83,Kennebec,8756,1
84,Kennebec,8435,1
85,Kennebec,8903,1
86,Kennebec,8810,1
87,Kennebec,4438,0.5
87,Lincoln,4441,0.5
88,Kennebec,2721,0.325
88,Lincoln,5644,0.675
89,Lincoln,8547,1
90,Lincoln,8529,1
91,Knox,3565,0.413
91,Lincoln,5075,0.587
92,Knox,8545,1
93,Knox,8877,1
94,Knox,8180,0.935
94,Waldo,566,0.065
95,Knox,8976,1
96,Waldo,8862,1
97,Waldo,8950,1
98,Waldo,8884,1
99,Waldo,9224,1
100,Penobscot,8983,1
101,Penobscot,8808,1
102,Penobscot,8793,1
103,Penobscot,8507,1
104,Penobscot,8703,1
105,Somerset,8998,1
106,Kennebec,3486,0.408
106,Somerset,5067,0.592
107,Somerset,8820,1
108,Somerset,8432,1
109,Kennebec,8757,1
110,Kennebec,8766,1
111,Somerset,9044,1
112,Franklin,5256,0.576
112,Somerset,3869,0.424
113,Franklin,9167,1
114,Franklin,8895,1
115,Oxford,8569,1
116,Oxford,8947,1
117,Franklin,2511,0.272
117,Oxford,6705,0.728
118,Franklin,88,0.011
118,Piscataquis,288,0.034
118,Somerset,7998,0.955
119,Piscataquis,8522,1
120,Piscataquis,8725,1
121,Penobscot,8651,1
122,Penobscot,8450,1
123,Penobscot,8881,1
124,Penobscot,9229,1
125,Penobscot,8403,1
126,Penobscot,8483,1
127,Penobscot,8405,1
128,Penobscot,8763,1
129,Penobscot,8860,1
130,Hancock,4924,0.569
130,Penobscot,3733,0.431
131,Hancock,6385,0.735
131,Waldo,2300,0.265
132,Hancock,9222,1
133,Hancock,8472,1
134,Hancock,6879,0.812
134,Knox,1593,0.188
135,Hancock,8890,1
136,Hancock,7231,0.865
136,Washington,1131,0.135
137,Hancock,2415,0.28
137,Penobscot,5829,0.676
137,Washington,380,0.044
138,Washington,9125,1
139,Washington,8995,1
140,Washington,8997,1
141,Penobscot,4474,0.514
141,Washington,4228,0.486
142,Penobscot,8393,1
143,Penobscot,8978,1
144,Aroostook,9081,1
145,Aroostook,8342,0.933
145,Penobscot,597,0.067
146,Aroostook,9178,1
147,Aroostook,9062,1
148,Aroostook,9065,1
149,Aroostook,8853,1
150,Aroostook,9101,1
151,Aroostook,9188,1
