HD #,County,County Pop. in HD,% of HD in County
1,Wayne,87763,1
2,Wayne,87595,1
3,Wayne,87906,1
4,Wayne,88168,1
5,Wayne,87356,1
6,Wayne,89129,1
7,Wayne,88586,1
8,Wayne,87850,1
9,Wayne,89598,1
10,Wayne,87869,1
11,Wayne,92216,1
12,Wayne,92972,1
13,Wayne,91612,1
14,Wayne,87184,1
15,Wayne,89880,1
16,Wayne,91563,1
17,Monroe,65346,0.742
17,Wayne,22716,0.258
18,Macomb,92236,1
18,Wayne,5,0
19,Wayne,92330,1
20,Wayne,92769,1
21,Wayne,92256,1
22,Macomb,86238,1
23,Wayne,93261,1
24,Macomb,86498,1
25,Macomb,85769,1
26,Oakland,86928,1
27,Oakland,91794,1
28,Macomb,86089,1
29,Oakland,88128,1
30,Macomb,87317,1
31,Macomb,88557,1
32,Macomb,55465,0.633
32,St. Clair,32144,0.367
33,Macomb,86511,1
34,Genesee,86516,1
35,Oakland,90361,1
36,Macomb,86298,1
36,Oakland,7,0
37,Oakland,90112,1
38,Oakland,91492,1
39,Oakland,91780,1
40,Oakland,91484,1
41,Oakland,92807,1
42,Livingston,91923,1
43,Oakland,93564,1
44,Oakland,92893,1
45,Oakland,88371,1
46,Oakland,89553,1
47,Livingston,89044,1
48,Genesee,90592,1
49,Genesee,86582,1
50,Genesee,90865,1
51,Genesee,71235,0.755
51,Oakland,23088,0.245
52,Washtenaw,86730,1
53,Washtenaw,85794,1
54,Washtenaw,85855,1
55,Washtenaw,86412,1
56,Monroe,86675,1
57,Lenawee,94159,1
58,Branch,45248,0.492
58,Hillsdale,46688,0.508
59,Cass,32440,0.346
59,St. Joseph,61295,0.654
60,Kalamazoo,93159,1
61,Kalamazoo,93161,1
62,Calhoun,92474,1
63,Calhoun,43672,0.475
63,Kalamazoo,48334,0.525
64,Jackson,86288,1
65,Eaton,14129,0.151
65,Jackson,73960,0.788
65,Lenawee,5733,0.061
66,Kalamazoo,15677,0.171
66,Van Buren,76258,0.829
67,Ingham,93656,1
68,Ingham,94139,1
69,Ingham,93100,1
70,Gratiot,23682,0.272
70,Montcalm,63342,0.728
71,Eaton,93630,1
72,Allegan,19540,0.209
72,Kent,73855,0.791
73,Kent,93816,1
74,Kent,91226,1
75,Kent,93805,1
76,Kent,94254,1
77,Kent,92432,1
78,Berrien,71052,0.782
78,Cass,19853,0.218
79,Berrien,85761,1
80,Allegan,91868,1
81,St. Clair,85596,1
82,Lapeer,88319,1
83,St. Clair,45300,0.512
83,Sanilac,43114,0.488
84,Huron,33118,0.373
84,Tuscola,55729,0.627
85,Saginaw,22476,0.241
85,Shiawassee,70648,0.759
86,Ionia,29037,0.315
86,Kent,63234,0.685
87,Barry,59173,0.629
87,Ionia,34868,0.371
88,Ottawa,87130,1
89,Ottawa,85375,1
90,Ottawa,91296,1
91,Muskegon,86459,1
92,Muskegon,85729,1
93,Clinton,75382,0.8
93,Gratiot,18794,0.2
94,Saginaw,89924,1
95,Saginaw,87769,1
96,Bay,86595,1
97,Arenac,15899,0.186
97,Clare,30926,0.361
97,Gladwin,25692,0.3
97,Osceola,13111,0.153
98,Bay,21176,0.247
98,Midland,64730,0.753
99,Isabella,70311,0.788
99,Midland,18899,0.212
100,Lake,11539,0.133
100,Newaygo,48460,0.56
100,Oceana,26570,0.307
101,Benzie,17525,0.189
101,Leelanau,21708,0.234
101,Manistee,24733,0.267
101,Mason,28705,0.31
102,Mecosta,42798,0.498
102,Osceola,10417,0.121
102,Wexford,32735,0.381
103,Crawford,14074,0.153
103,Kalkaska,17153,0.186
103,Missaukee,14849,0.161
103,Ogemaw,21699,0.235
103,Roscommon,24449,0.265
104,Grand Traverse,86986,1
105,Antrim,23580,0.256
105,Charlevoix,25949,0.282
105,Montmorency,9765,0.106
105,Oscoda,8640,0.094
105,Otsego,24164,0.262
106,Alcona,10942,0.116
106,Alpena,29598,0.314
106,Cheboygan,14417,0.153
106,Iosco,25887,0.275
106,Presque Isle,13376,0.142
107,Cheboygan,11735,0.125
107,Chippewa,38520,0.41
107,Emmet,32694,0.348
107,Mackinac,11113,0.118
108,Delta,37069,0.425
108,Dickinson,26168,0.3
108,Menominee,24029,0.275
109,Alger,9601,0.11
109,Luce,6631,0.076
109,Marquette,62748,0.717
109,Schoolcraft,8485,0.097
110,Baraga,8860,0.102
110,Gogebic,16427,0.189
110,Houghton,36628,0.421
110,Iron,11817,0.136
110,Keweenaw,2156,0.025
110,Marquette,4329,0.05
110,Ontonagon,6780,0.078
