HD #,County,County Pop. in HD,% of HD in County
01A,Kittson,4552,0.115
01A,Marshall,9439,0.239
01A,Pennington,9939,0.251
01A,Roseau,15629,0.395
01B,Pennington,3991,0.101
01B,Polk,31600,0.796
01B,Red Lake,4089,0.103
02A,Beltrami,18970,0.478
02A,Clearwater,6668,0.168
02A,Hubbard,10042,0.253
02A,Lake of the Woods,4045,0.102
02B,Becker,18754,0.471
02B,Clearwater,2027,0.051
02B,Hubbard,10113,0.254
02B,Mahnomen,5413,0.136
02B,Otter Tail,1122,0.028
02B,Wadena,2379,0.06
03A,Cook,5176,0.131
03A,Koochiching,13311,0.337
03A,Lake,5554,0.141
03A,St. Louis,15421,0.391
03B,Lake,5312,0.133
03B,St. Louis,34552,0.867
04A,Clay,39892,1
04B,Becker,13750,0.346
04B,Clay,19107,0.481
04B,Norman,6852,0.173
05A,Beltrami,25472,0.647
05A,Cass,9678,0.246
05A,Hubbard,273,0.007
05A,Itasca,3944,0.1
05B,Cass,8256,0.209
05B,Itasca,31284,0.791
06A,Itasca,9830,0.249
06A,St. Louis,29671,0.751
06B,St. Louis,39616,1
07A,St. Louis,39214,1
07B,St. Louis,39493,1
08A,Otter Tail,39861,1
08B,Douglas,23137,0.586
08B,Otter Tail,16320,0.414
09A,Cass,10633,0.269
09A,Todd,17411,0.441
09A,Wadena,11464,0.29
09B,Morrison,32052,0.811
09B,Todd,7484,0.189
10A,Crow Wing,39314,1
10B,Aitkin,16202,0.411
10B,Crow Wing,23186,0.589
11A,Carlton,35386,0.891
11A,Pine,2058,0.052
11A,St. Louis,2259,0.057
11B,Kanabec,11867,0.3
11B,Pine,27692,0.7
12A,Big Stone,5269,0.133
12A,Douglas,5181,0.13
12A,Grant,6018,0.151
12A,Pope,3408,0.086
12A,Stevens,9726,0.245
12A,Traverse,3558,0.09
12A,Wilkin,6576,0.165
12B,Douglas,7691,0.194
12B,Pope,7587,0.191
12B,Stearns,24343,0.614
13A,Stearns,39585,1
13B,Benton,15621,0.394
13B,Stearns,24010,0.606
14A,Stearns,39770,1
14B,Benton,8042,0.202
14B,Sherburne,8771,0.221
14B,Stearns,22934,0.577
15A,Kanabec,4372,0.111
15A,Mille Lacs,26097,0.662
15A,Sherburne,8965,0.227
15B,Benton,14788,0.373
