HD #,County,County Pop. in HD,% of HD in County
1,Alcorn,9993,0.431
1,Tishomingo,13186,0.569
2,Alcorn,23275,1
3,Alcorn,2752,0.119
3,Prentiss,20448,0.881
4,Alcorn,1037,0.045
4,Tippah,22232,0.955
5,Benton,2017,0.085
5,Lafayette,1316,0.055
5,Marshall,19982,0.839
5,Tate,506,0.021
6,DeSoto,24931,1
7,DeSoto,24393,1
8,Lafayette,1157,0.05
8,Tate,22124,0.95
9,Coahoma,2847,0.121
9,Quitman,7239,0.308
9,Tate,2625,0.112
9,Tunica,10778,0.459
10,Lafayette,8885,0.354
10,Panola,15003,0.598
10,Tallahatchie,1213,0.048
11,Panola,19704,0.844
11,Tate,3631,0.156
12,Lafayette,24808,1
13,Benton,6712,0.287
13,Lafayette,10147,0.433
13,Marshall,3405,0.145
13,Union,3159,0.135
14,Union,23122,1
15,Pontotoc,23363,1
16,Lee,22950,0.991
16,Monroe,214,0.009
17,Lee,23280,1
18,Lee,17442,0.754
18,Prentiss,4828,0.209
18,Union,853,0.037
19,Itawamba,6446,0.277
19,Lee,16793,0.723
20,Itawamba,142,0.006
20,Lee,2445,0.105
20,Monroe,20676,0.889
21,Itawamba,16813,0.724
21,Tishomingo,6407,0.276
22,Chickasaw,17392,0.725
22,Pontotoc,6594,0.275
23,Calhoun,14962,0.636
23,Grenada,4359,0.185
23,Lafayette,1038,0.044
23,Webster,3182,0.135
24,DeSoto,25485,1
25,DeSoto,25356,1
26,Bolivar,787,0.033
26,Coahoma,23304,0.967
27,Attala,6185,0.254
27,Leake,10698,0.44
27,Madison,5543,0.228
27,Yazoo,1906,0.078
28,DeSoto,25326,1
29,Bolivar,24441,0.987
29,Sunflower,311,0.013
30,Bolivar,6526,0.263
30,Quitman,984,0.04
30,Sunflower,10689,0.43
30,Tallahatchie,6641,0.267
31,Bolivar,1225,0.048
31,Humphreys,308,0.012
31,Sunflower,18450,0.726
31,Washington,5446,0.214
32,Leflore,23161,1
33,Grenada,4548,0.186
33,Tallahatchie,7187,0.294
33,Yalobusha,12678,0.519
34,Carroll,1037,0.044
34,Grenada,12626,0.536
34,Holmes,3950,0.168
34,Leflore,5621,0.238
34,Tallahatchie,337,0.014
35,Attala,903,0.036
35,Choctaw,8547,0.344
35,Webster,6386,0.257
35,Winston,9023,0.363
36,Clay,12722,0.55
36,Monroe,10412,0.45
37,Clay,5933,0.249
37,Lowndes,15726,0.661
37,Oktibbeha,2150,0.09
38,Clay,1979,0.085
38,Lowndes,599,0.026
38,Oktibbeha,20600,0.889
39,Lowndes,18028,0.76
39,Monroe,5687,0.24
40,DeSoto,24700,1
41,Lowndes,23263,1
42,Lowndes,2163,0.094
42,Noxubee,11545,0.499
42,Winston,9418,0.407
43,Oktibbeha,24921,0.981
43,Winston,492,0.019
44,Leake,858,0.034
44,Neshoba,24539,0.966
45,Kemper,10456,0.411
45,Lauderdale,9586,0.377
45,Neshoba,5137,0.202
45,Winston,265,0.01
46,Carroll,8361,0.35
46,Grenada,373,0.016
46,Leflore,3535,0.148
46,Montgomery,10925,0.458
46,Webster,685,0.029
47,Attala,2085,0.086
47,Holmes,12857,0.53
47,Yazoo,9309,0.384
48,Attala,10391,0.427
48,Carroll,1199,0.049
48,Holmes,2391,0.098
48,Leake,10344,0.425
49,Washington,23429,1
50,Bolivar,1166,0.048
50,Issaquena,958,0.039
50,Washington,22262,0.913
51,Humphreys,9067,0.381
