HD #,County,County Pop. in HD,% of HD in County
1,Bertie,21282,0.275877267
1,Camden,9980,0.129370131
1,Chowan,14793,0.191760756
1,Perquimans,13453,0.174390418
1,Tyrrell,4407,0.057127672
1,Washington,13228,0.171473757
2,Granville,43170,0.522424184
2,Person,39464,0.477575816
3,Craven,75726,1
4,Duplin,58505,0.743279297
4,Onslow,20207,0.256720703
5,Gates,12197,0.157325835
5,Hertford,24669,0.318198821
5,Pasquotank,40661,0.524475344
6,Currituck,23547,0.308122113
6,Dare,33920,0.443857055
6,Hyde,5810,0.076026223
6,Pamlico,13144,0.171994609
7,Franklin,60619,0.802178171
7,Nash,14949,0.197821829
8,Pitt,75724,1
9,Pitt,75599,1
10,Greene,21362,0.25603471
10,Johnston,7696,0.092240573
10,Wayne,54376,0.651724717
11,Wake,82341,1
12,Lenoir,59495,0.779546646
12,Pitt,16825,0.220453354
13,Carteret,66469,0.867492365
13,Jones,10153,0.132507635
14,Onslow,79512,1
15,Onslow,78053,1
16,Columbus,30334,0.367457693
16,Pender,52217,0.632542307
17,Brunswick,78689,1
18,New Hanover,77812,1
19,Brunswick,28742,0.372344284
19,New Hanover,48450,0.627655716
20,New Hanover,76405,1
21,Sampson,15184,0.181994702
21,Wayne,68247,0.818005298
22,Bladen,35190,0.421755336
22,Sampson,48247,0.578244664
23,Edgecombe,56552,0.697681878
23,Martin,24505,0.302318122
24,Wilson,81234,1
25,Nash,80891,1
26,Johnston,83432,1
27,Halifax,54691,0.712215132
27,Northampton,22099,0.287784868
28,Harnett,5681,0.068092196
28,Johnston,77750,0.931907804
29,Durham,82735,1
30,Durham,83272,1
31,Durham,82773,1
32,Granville,16746,0.201419293
32,Vance,45422,0.546331489
32,Warren,20972,0.252249218
33,Wake,83342,1
34,Wake,82825,1
35,Wake,76942,1
36,Wake,83373,1
37,Wake,83318,1
38,Wake,83061,1
39,Wake,83055,1
40,Wake,76609,1
41,Wake,82866,1
42,Cumberland,80970,1
43,Cumberland,77776,1
44,Cumberland,83254,1
45,Cumberland,77431,1
46,Columbus,27764,0.351870628
46,Robeson,51140,0.648129372
47,Robeson,83028,1
48,Hoke,46952,0.564944831
48,Scotland,36157,0.435055169
49,Wake,83261,1
50,Caswell,23719,0.293312393
50,Orange,57147,0.706687607
51,Harnett,25568,0.306445813
51,Lee,57866,0.693554187
52,Moore,76894,1
53,Harnett,83429,1
54,Chatham,63505,0.771515696
54,Durham,18807,0.228484304
55,Anson,26948,0.353198684
55,Union,49349,0.646801316
56,Orange,76654,1
57,Guilford,83303,1
58,Guilford,80578,1
59,Guilford,79783,1
60,Guilford,83089,1
61,Guilford,79754,1
62,Guilford,81899,1
63,Alamance,75592,1
64,Alamance,75539,1
65,Rockingham,83430,1
66,Montgomery,27798,0.334786588
66,Richmond,46639,0.561699104
66,Stanly,8595,0.103514308
67,Cabarrus,16737,0.202590329
67,Rowan,13888,0.168105066
67,Stanly,51990,0.629304606
68,Union,76114,1
69,Union,75829,1
70,Randolph,76125,1
71,Forsyth,76107,1
72,Forsyth,80129,1
73,Forsyth,37895,0.49665142
73,Yadkin,38406,0.50334858
74,Forsyth,78989,1
75,Forsyth,77550,1
76,Rowan,82640,1
77,Davie,41240,0.496030791
77,Rowan,41900,0.503969209
78,Moore,11353,0.147479865
78,Randolph,65627,0.852520135
79,Beaufort,47759,0.632251317
79,Craven,27779,0.367748683
80,Davidson,81522,1
81,Davidson,81356,1
82,Cabarrus,79549,1
83,Cabarrus,81725,1
84,Iredell,77282,1
85,Avery,17797,0.227083652
85,McDowell,44996,0.574133619
85,Mitchell,15579,0.198782729
86,Burke,79175,1
87,Caldwell,83029,1
88,Mecklenburg,76377,1
89,Catawba,77838,1
90,Alleghany,11155,0.1347564
90,Surry,48444,0.585220889
90,Wilkes,23180,0.280022711
91,Rockingham,10213,0.123281388
91,Stokes,47401,0.572178699
91,Surry,25229,0.304539913
92,Mecklenburg,76129,1
93,Ashe,27281,0.348149566
93,Watauga,51079,0.651850434
94,Alexander,37198,0.446243912
94,Wilkes,46160,0.553756088
95,Iredell,82155,1
96,Catawba,76520,1
97,Lincoln,78265,1
98,Mecklenburg,80131,1
99,Mecklenburg,75969,1
100,Mecklenburg,76143,1
101,Mecklenburg,76212,1
102,Mecklenburg,76395,1
103,Mecklenburg,77930,1
104,Mecklenburg,75845,1
105,Mecklenburg,76254,1
106,Mecklenburg,76481,1
107,Mecklenburg,75762,1
108,Gaston,76067,1
109,Gaston,76123,1
110,Cleveland,21968,0.289570811
110,Gaston,53896,0.710429189
111,Cleveland,76110,1
112,Burke,11737,0.14754799
112,Rutherford,67810,0.85245201
113,Henderson,27489,0.338997891
113,Polk,20510,0.252931964
113,Transylvania,33090,0.408070145
114,Buncombe,80056,1
115,Buncombe,77363,1
116,Buncombe,80899,1
117,Henderson,79251,1
118,Haywood,37740,0.494483897
118,Madison,20764,0.27205786
118,Yancey,17818,0.233458243
119,Haywood,21296,0.281887012
119,Jackson,40271,0.533051835
119,Swain,13981,0.185061153
120,Cherokee,27444,0.339594625
120,Clay,10587,0.131004529
120,Graham,8861,0.109646843
120,Macon,33922,0.419754003
