HD #,County,County Pop. in HD,% of HD in County
Belknap 01,Belknap,3259,1
Belknap 02,Belknap,13357,1
Belknap 03,Belknap,15950,1
Belknap 04,Belknap,6533,1
Belknap 05,Belknap,9019,1
Belknap 06,Belknap,7367,1
Belknap 07,Belknap,4601,1
Belknap 08 (F),Belknap,13620,1
Belknap 09 (F),Belknap,23317,1
Carroll 01,Carroll,3645,1
Carroll 02,Carroll,10959,1
Carroll 03,Carroll,7588,1
Carroll 04,Carroll,7753,1
Carroll 05,Carroll,11604,1
Carroll 06,Carroll,6269,1
Carroll 07 (F),Carroll,22192,1
Carroll 08 (F),Carroll,19357,1
Cheshire 01,Cheshire,13258,1
Cheshire 02,Cheshire,3415,1
Cheshire 03,Cheshire,3451,1
Cheshire 04,Cheshire,4810,1
Cheshire 05,Cheshire,4699,1
Cheshire 06,Cheshire,4677,1
Cheshire 07,Cheshire,4616,1
Cheshire 08,Cheshire,4622,1
Cheshire 09,Cheshire,8249,1
Cheshire 10,Cheshire,4208,1
Cheshire 11,Cheshire,8405,1
Cheshire 12,Cheshire,8366,1
Cheshire 13,Cheshire,4341,1
Cheshire 14 (F),Cheshire,16654,1
Cheshire 15 (F),Cheshire,16915,1
Cheshire 16 (F),Cheshire,23424,1
Coos 01,Coos,6314,1
Coos 02,Coos,4485,1
Coos 03,Coos,10051,1
Coos 04,Coos,4476,1
Coos 05,Coos,4496,1
Coos 06,Coos,3233,1
Coos 07 (F),Coos,13457,1
Grafton 01,Grafton,8454,1
Grafton 02,Grafton,4583,1
Grafton 03,Grafton,5041,1
Grafton 04,Grafton,4697,1
Grafton 05,Grafton,3283,1
Grafton 06,Grafton,4977,1
Grafton 07,Grafton,3333,1
Grafton 08,Grafton,9709,1
Grafton 09,Grafton,9157,1
Grafton 10,Grafton,4582,1
Grafton 11,Grafton,5175,1
Grafton 12,Grafton,12976,1
Grafton 13,Grafton,13151,1
Grafton 14 (F),Grafton,13037,1
Grafton 15 (F),Grafton,9738,1
Grafton 16 (F),Grafton,10152,1
Grafton 17 (F),Grafton,13739,1
Hillsborough 01,Hillsborough,8864,1
Hillsborough 02,Hillsborough,10705,1
Hillsborough 03,Hillsborough,4879,1
Hillsborough 04,Hillsborough,9027,1
Hillsborough 05,Hillsborough,7730,1
Hillsborough 06,Hillsborough,17651,1
Hillsborough 07,Hillsborough,21203,1
Hillsborough 08,Hillsborough,9121,1
Hillsborough 09,Hillsborough,9219,1
Hillsborough 10,Hillsborough,9113,1
Hillsborough 11,Hillsborough,9115,1
Hillsborough 12,Hillsborough,9253,1
Hillsborough 13,Hillsborough,9260,1
Hillsborough 14,Hillsborough,9175,1
Hillsborough 15,Hillsborough,9135,1
Hillsborough 16,Hillsborough,9169,1
Hillsborough 17,Hillsborough,9012,1
Hillsborough 18,Hillsborough,8991,1
Hillsborough 19,Hillsborough,9002,1
Hillsborough 20,Hillsborough,8272,1
Hillsborough 21,Hillsborough,25490,1
Hillsborough 22,Hillsborough,11205,1
Hillsborough 23,Hillsborough,15115,1
Hillsborough 24,Hillsborough,6284,1
Hillsborough 25,Hillsborough,6817,1
Hillsborough 26,Hillsborough,6373,1
Hillsborough 27,Hillsborough,7684,1
Hillsborough 28,Hillsborough,9773,1
Hillsborough 29,Hillsborough,9477,1
Hillsborough 30,Hillsborough,9448,1
Hillsborough 31,Hillsborough,9718,1
Hillsborough 32,Hillsborough,9605,1
Hillsborough 33,Hillsborough,9614,1
Hillsborough 34,Hillsborough,9637,1
Hillsborough 35,Hillsborough,9661,1
Hillsborough 36,Hillsborough,9561,1
Hillsborough 37,Hillsborough,37363,1
Hillsborough 38 (F),Hillsborough,22770,1
Hillsborough 39 (F),Hillsborough,28356,1
Hillsborough 40 (F),Hillsborough,30529,1
Hillsborough 41 (F),Hillsborough,32408,1
Hillsborough 42 (F),Hillsborough,27453,1
Hillsborough 43 (F),Hillsborough,36803,1
Hillsborough 44 (F),Hillsborough,26576,1
Hillsborough 45 (F),Hillsborough,27005,1
Merrimack 01,Merrimack,4917,1
Merrimack 02,Merrimack,6635,1
Merrimack 03,Merrimack,7757,1
Merrimack 04,Merrimack,3195,1
Merrimack 05,Merrimack,6469,1
Merrimack 06,Merrimack,6486,1
Merrimack 07,Merrimack,4705,1
Merrimack 08,Merrimack,3965,1
Merrimack 09,Merrimack,7633,1
Merrimack 10,Merrimack,9666,1
Merrimack 11,Merrimack,4465,1
Merrimack 12,Merrimack,4381,1
Merrimack 13,Merrimack,4328,1
Merrimack 14,Merrimack,4137,1
Merrimack 15,Merrimack,4165,1
Merrimack 16,Merrimack,4251,1
Merrimack 17,Merrimack,4141,1
Merrimack 18,Merrimack,4342,1
Merrimack 19,Merrimack,4408,1
Merrimack 20,Merrimack,9677,1
Merrimack 21,Merrimack,8672,1
Merrimack 22,Merrimack,4322,1
Merrimack 23,Merrimack,10277,1
Merrimack 24,Merrimack,13451,1
Merrimack 25 (F),Merrimack,9622,1
Merrimack 26 (F),Merrimack,19355,1
Merrimack 27 (F),Merrimack,25727,1
Merrimack 28 (F),Merrimack,12891,1
Merrimack 29 (F),Merrimack,12994,1
Rockingham 01,Rockingham,4241,1
Rockingham 02,Rockingham,12974,1
Rockingham 03,Rockingham,10134,1
Rockingham 04,Rockingham,15707,1
Rockingham 05,Rockingham,24101,1
Rockingham 06,Rockingham,33135,1
Rockingham 07,Rockingham,13592,1
Rockingham 08,Rockingham,28776,1
Rockingham 09,Rockingham,6411,1
Rockingham 10,Rockingham,4287,1
Rockingham 11,Rockingham,4492,1
Rockingham 12,Rockingham,4387,1
Rockingham 13,Rockingham,14542,1
Rockingham 14,Rockingham,14362,1
Rockingham 15,Rockingham,4603,1
Rockingham 16,Rockingham,5295,1
Rockingham 17,Rockingham,10616,1
Rockingham 18,Rockingham,14306,1
Rockingham 19,Rockingham,7255,1
Rockingham 20,Rockingham,10929,1
Rockingham 21,Rockingham,15430,1
Rockingham 22,Rockingham,4301,1
Rockingham 23,Rockingham,4302,1
Rockingham 24,Rockingham,6266,1
Rockingham 25,Rockingham,3803,1
Rockingham 26,Rockingham,4321,1
Rockingham 27,Rockingham,4296,1
Rockingham 28,Rockingham,4214,1
Rockingham 29,Rockingham,4145,1
Rockingham 30 (F),Rockingham,16483,1
Rockingham 31 (F),Rockingham,12899,1
Rockingham 32 (F),Rockingham,17215,1
Rockingham 33 (F),Rockingham,13166,1
Rockingham 34 (F),Rockingham,28904,1
Rockingham 35 (F),Rockingham,9898,1
Rockingham 36 (F),Rockingham,32177,1
Rockingham 37 (F),Rockingham,26359,1
Strafford 01,Strafford,6381,1
Strafford 02,Strafford,6786,1
Strafford 03,Strafford,6629,1
Strafford 04,Strafford,8576,1
Strafford 05,Strafford,4330,1
Strafford 06,Strafford,16409,1
Strafford 07,Strafford,4995,1
Strafford 08,Strafford,5014,1
Strafford 09,Strafford,5030,1
Strafford 10,Strafford,4911,1
Strafford 11,Strafford,4905,1
Strafford 12,Strafford,4897,1
Strafford 13,Strafford,4991,1
Strafford 14,Strafford,5074,1
Strafford 15,Strafford,5028,1
Strafford 16,Strafford,5134,1
Strafford 17,Strafford,14602,1
Strafford 18,Strafford,9451,1
Strafford 19 (F),Strafford,10065,1
Strafford 20 (F),Strafford,10162,1
Strafford 21 (F),Strafford,24053,1
Strafford 22 (F),Strafford,10009,1
Strafford 23 (F),Strafford,9941,1
Strafford 24 (F),Strafford,9802,1
Strafford 25 (F),Strafford,12906,1
Sullivan 01,Sullivan,8300,1
Sullivan 02,Sullivan,4129,1
Sullivan 03,Sullivan,4598,1
Sullivan 04,Sullivan,4490,1
Sullivan 05,Sullivan,4267,1
Sullivan 06,Sullivan,8178,1
Sullivan 07,Sullivan,4666,1
Sullivan 08,Sullivan,5114,1
Sullivan 09 (F),Sullivan,20607,1
Sullivan 10 (F),Sullivan,13355,1
Sullivan 11 (F),Sullivan,9780,1
