AD #,County,County Pop. in AD,% of AD in County
1,Suffolk,128684,1
2,Suffolk,128787,1
3,Suffolk,128622,1
4,Suffolk,128783,1
5,Suffolk,128819,1
6,Suffolk,128520,1
7,Suffolk,128772,1
8,Suffolk,128876,1
9,Nassau,51557,0.4
9,Suffolk,77300,0.6
10,Suffolk,128827,1
11,Suffolk,128520,1
12,Suffolk,128840,1
13,Nassau,128820,1
14,Nassau,128867,1
15,Nassau,128876,1
16,Nassau,128897,1
17,Nassau,128866,1
18,Nassau,128294,1
19,Nassau,128880,1
20,Nassau,128832,1
21,Nassau,128807,1
22,Nassau,128836,0.999
22,Queens,101,0.001
23,Queens,123910,1
24,Queens,124005,1
25,Queens,124027,1
26,Queens,124021,1
27,Queens,123959,1
28,Queens,124011,1
29,Queens,123808,1
30,Queens,124010,1
31,Queens,123681,1
32,Queens,123534,1
33,Queens,123747,1
34,Queens,123963,1
35,Queens,123897,1
36,Queens,123998,1
37,Queens,124212,1
38,Queens,123926,1
39,Queens,123948,1
40,Queens,123964,1
41,Kings,124068,1
42,Kings,123835,1
43,Kings,123751,1
44,Kings,124109,1
45,Kings,124127,1
46,Kings,123947,1
47,Kings,124104,1
48,Kings,124180,1
49,Kings,124154,1
50,Kings,124059,1
51,Kings,123915,1
52,Kings,124034,1
53,Kings,123692,1
54,Kings,123474,1
55,Kings,123033,1
56,Kings,123091,1
57,Kings,123531,1
58,Kings,123901,1
59,Kings,124055,1
60,Kings,123314,1
61,Richmond,123791,1
62,Richmond,125086,1
63,Richmond,124078,1
64,Kings,28326,0.228
64,Richmond,95775,0.772
65,New York,132244,1
66,New York,132349,1
67,New York,132481,1
68,New York,131465,1
69,New York,132153,1
70,New York,131333,1
71,New York,131749,1
72,New York,132166,1
73,New York,132549,1
74,New York,132247,1
75,New York,132562,1
76,New York,132575,1
77,Bronx,125754,1
78,Bronx,125911,1
79,Bronx,125758,1
80,Bronx,126126,1
81,Bronx,126201,1
82,Bronx,126240,1
83,Bronx,125969,1
84,Bronx,125704,1
85,Bronx,125770,1
86,Bronx,125742,1
87,Bronx,125933,1
88,Westchester,131070,1
89,Westchester,131524,1
90,Westchester,131744,1
91,Westchester,131071,1
92,Westchester,132124,1
93,Westchester,132216,1
94,Putnam,76541,0.575
94,Westchester,56515,0.425
95,Putnam,23169,0.184
95,Westchester,102849,0.816
96,Rockland,132487,1
97,Rockland,132439,1
98,Orange,101436,0.762
98,Rockland,31702,0.238
99,Orange,118258,0.887
99,Rockland,15059,0.113
100,Orange,62530,0.458
100,Sullivan,73990,0.542
101,Delaware,12868,0.095
101,Herkimer,26113,0.193
101,Oneida,26577,0.196
101,Orange,31922,0.235
101,Otsego,6237,0.046
101,Sullivan,3557,0.026
101,Ulster,28278,0.209
102,Albany,12622,0.093
102,Columbia,4842,0.036
102,Delaware,11771,0.087
102,Greene,49221,0.364
102,Otsego,4507,0.033
102,Schoharie,32749,0.242
102,Ulster,19482,0.144
103,Dutchess,18867,0.141
103,Ulster,115062,0.859
104,Dutchess,48277,0.381
104,Orange,58667,0.463
104,Ulster,19671,0.155
105,Dutchess,135315,1
106,Columbia,38032,0.286
106,Dutchess,95029,0.714
107,Columbia,20222,0.152
107,Rensselaer,107436,0.808
107,Washington,5377,0.04
108,Albany,71502,0.542
108,Rensselaer,51993,0.394
108,Saratoga,8423,0.064
109,Albany,133003,1
110,Albany,81591,0.621
110,Schenectady,49869,0.379
111,Albany,5486,0.042
111,Montgomery,50219,0.383
111,Schenectady,75378,0.575
112,Saratoga,104039,0.779
112,Schenectady,29480,0.221
113,Saratoga,96496,0.723
113,Washington,36886,0.277
114,Essex,39370,0.288
114,Saratoga,10649,0.078
114,Warren,65707,0.481
114,Washington,20953,0.153
115,Clinton,82128,0.589
115,Franklin,51599,0.37
115,St. Lawrence,5725,0.041
116,Jefferson,63580,0.473
116,St. Lawrence,70903,0.527
117,Jefferson,49175,0.366
117,Lewis,27087,0.202
117,Oneida,41297,0.308
117,St. Lawrence,16687,0.124
118,Fulton,55531,0.419
118,Hamilton,4836,0.036
118,Herkimer,30770,0.232
118,Oneida,22863,0.172
118,St. Lawrence,18629,0.14
119,Herkimer,7636,0.057
119,Oneida,127428,0.943
120,Jefferson,3474,0.026
120,Onondaga,21759,0.164
120,Oswego,107612,0.81
121,Madison,73442,0.55
121,Oneida,16713,0.125
121,Otsego,43459,0.325
122,Broome,63458,0.475
122,Chenango,38638,0.289
122,Delaware,23341,0.175
122,Otsego,8056,0.06
123,Broome,131765,1
124,Broome,5377,0.04
124,Chemung,79380,0.584
124,Tioga,51125,0.376
125,Cortland,31824,0.239
125,Tompkins,101564,0.761
126,Cayuga,54258,0.398
126,Chenango,11839,0.087
126,Cortland,17512,0.128
126,Onondaga,52687,0.387
127,Onondaga,133990,1
128,Onondaga,129204,1
129,Onondaga,129386,1
130,Cayuga,25768,0.192
130,Oswego,14497,0.108
130,Wayne,93772,0.7
131,Ontario,107931,0.812
131,Seneca,24920,0.188
132,Chemung,9450,0.07
132,Schuyler,18343,0.136
132,Seneca,10331,0.076
132,Steuben,71858,0.531
132,Yates,25348,0.187
133,Livingston,65393,0.483
133,Monroe,46810,0.345
133,Steuben,23304,0.172
134,Monroe,131584,1
135,Monroe,131932,1
136,Monroe,133337,1
137,Monroe,131946,1
138,Monroe,133189,1
139,Genesee,60079,0.451
139,Monroe,35546,0.267
139,Orleans,37564,0.282
140,Erie,108872,0.835
140,Niagara,21584,0.165
141,Erie,129315,1
142,Erie,130464,1
143,Erie,129830,1
144,Erie,50166,0.374
144,Niagara,78563,0.586
144,Orleans,5319,0.04
145,Erie,20374,0.156
145,Niagara,109925,0.844
146,Erie,122366,0.95
146,Niagara,6397,0.05
147,Erie,97455,0.698
147,Wyoming,42155,0.302
148,Allegany,48946,0.368
148,Cattaraugus,80317,0.603
148,Steuben,3828,0.029
149,Erie,130198,1
150,Chautauqua,134905,1
