HD #,County,County Pop. in HD,% of HD in County
1,Le Flore,3723,0.101
1,McCurtain,33151,0.899
2,Sequoyah,37157,1
3,Le Flore,36932,1
4,Cherokee,37367,1
5,Delaware,26777,0.716
5,Mayes,10599,0.284
6,Craig,15029,0.405
6,Mayes,3806,0.102
6,Rogers,18315,0.493
7,Delaware,5304,0.143
7,Ottawa,31848,0.857
8,Mayes,26854,0.722
8,Rogers,8300,0.223
8,Wagoner,2044,0.055
9,Rogers,37325,1
10,Nowata,10536,0.283
10,Osage,2171,0.058
10,Washington,24457,0.658
11,Rogers,1953,0.052
11,Tulsa,8755,0.235
11,Washington,26519,0.712
12,Wagoner,37017,1
13,McIntosh,6313,0.17
13,Muskogee,30799,0.83
14,Cherokee,4556,0.123
14,Muskogee,32415,0.877
15,Haskell,12769,0.346
15,Le Flore,7068,0.192
15,McIntosh,5858,0.159
15,Muskogee,3177,0.086
15,Pittsburg,2802,0.076
15,Sequoyah,5234,0.142
16,Muskogee,4599,0.124
16,Okmulgee,26219,0.708
16,Tulsa,323,0.009
16,Wagoner,5878,0.159
17,Latimer,11154,0.301
17,Le Flore,2661,0.072
17,Pittsburg,23211,0.627
18,Coal,5925,0.161
18,Hughes,3046,0.083
18,McIntosh,8081,0.219
18,Pittsburg,19824,0.538
19,Atoka,5390,0.145
19,Bryan,5081,0.136
19,Choctaw,15205,0.408
19,Pushmataha,11572,0.311
20,Cleveland,18829,0.507
20,Garvin,4373,0.118
20,McClain,13250,0.357
20,Pottawatomie,712,0.019
21,Bryan,37335,1
22,Atoka,8792,0.236
22,Garvin,4796,0.129
22,Johnston,10957,0.294
22,Murray,12758,0.342
23,Rogers,8459,0.228
23,Tulsa,26099,0.704
23,Wagoner,2503,0.068
24,Hughes,10957,0.296
24,Okfuskee,12191,0.33
24,Okmulgee,13850,0.374
25,Pontotoc,37492,1
26,Pottawatomie,37114,1
27,Cleveland,17138,0.462
27,Pottawatomie,19947,0.538
28,Pottawatomie,11669,0.314
28,Seminole,25482,0.686
29,Creek,32721,0.88
29,Tulsa,4482,0.12
30,Creek,28187,0.764
30,Tulsa,8722,0.236
31,Logan,32000,0.868
31,Oklahoma,4849,0.132
32,Lincoln,34273,0.927
32,Logan,2691,0.073
33,Logan,504,0.014
33,Payne,36686,0.986
34,Payne,37140,1
35,Creek,8108,0.219
35,Noble,7329,0.198
35,Osage,1471,0.04
35,Pawnee,16577,0.448
35,Payne,3524,0.095
36,Osage,28669,0.774
36,Tulsa,8353,0.226
37,Kay,29766,0.798
37,Osage,7558,0.202
38,Garfield,4661,0.126
38,Grant,4527,0.123
38,Kay,16796,0.456
38,Logan,6653,0.18
38,Noble,4232,0.115
39,Oklahoma,37474,1
40,Garfield,37301,1
41,Canadian,12900,0.347
