HD #,County,County Pop. in HD,% of HD in County
1,Coos,24434,0.381
1,Curry,22364,0.349
1,Douglas,13615,0.213
1,Josephine,3640,0.057
2,Douglas,56469,0.893
2,Jackson,1332,0.021
2,Josephine,5434,0.086
3,Josephine,64835,1
4,Jackson,55431,0.863
4,Josephine,8804,0.137
5,Jackson,62923,1
6,Jackson,63708,1
7,Douglas,31776,0.497
7,Lane,32117,0.503
8,Lane,62957,1
9,Coos,38609,0.611
9,Douglas,5807,0.092
9,Lane,18105,0.286
9,Lincoln,707,0.011
10,Lincoln,45327,0.707
10,Polk,2849,0.044
10,Tillamook,7827,0.122
10,Yamhill,8143,0.127
11,Lane,47679,0.758
11,Linn,15196,0.242
12,Lane,63347,1
13,Lane,63425,1
14,Lane,64085,1
15,Benton,9637,0.152
15,Linn,53777,0.848
16,Benton,63473,1
17,Linn,47699,0.743
17,Marion,16482,0.257
18,Clackamas,26545,0.418
18,Marion,36891,0.582
19,Marion,63884,1
20,Marion,20298,0.314
20,Polk,44373,0.686
21,Marion,64647,1
22,Marion,64397,1
23,Benton,12469,0.196
23,Marion,9217,0.145
23,Polk,28181,0.444
23,Yamhill,13643,0.215
24,Washington,12495,0.194
24,Yamhill,52038,0.806
25,Marion,39465,0.609
25,Yamhill,25367,0.391
26,Clackamas,16967,0.262
26,Washington,47742,0.738
27,Multnomah,1882,0.029
27,Washington,62929,0.971
28,Washington,64512,1
29,Washington,64559,1
30,Washington,64704,1
31,Columbia,49351,0.773
31,Multnomah,5382,0.084
31,Washington,9112,0.143
32,Clatsop,37039,0.575
32,Tillamook,17423,0.271
32,Washington,9943,0.154
32,Yamhill,2,0
33,Multnomah,18766,0.291
33,Washington,45783,0.709
34,Washington,64611,1
35,Clackamas,786,0.012
35,Multnomah,8115,0.125
35,Washington,55885,0.863
36,Multnomah,64311,1
37,Clackamas,37121,0.575
37,Washington,27435,0.425
38,Clackamas,35372,0.546
38,Multnomah,29387,0.454
39,Clackamas,63642,0.999
39,Marion,54,0.001
40,Clackamas,64552,1
41,Clackamas,40034,0.625
41,Multnomah,23971,0.375
42,Multnomah,63104,1
43,Multnomah,64536,1
44,Multnomah,63698,1
45,Multnomah,63014,1
46,Multnomah,63236,1
47,Multnomah,62959,1
48,Clackamas,30829,0.488
48,Multnomah,32405,0.512
49,Multnomah,63184,1
50,Multnomah,63211,1
51,Clackamas,31640,0.501
51,Multnomah,31491,0.499
52,Clackamas,28504,0.449
52,Hood River,22346,0.352
52,Multnomah,12682,0.2
53,Deschutes,64805,1
54,Deschutes,63563,1
55,Crook,20978,0.33
55,Deschutes,12170,0.192
55,Jackson,19812,0.312
55,Klamath,7995,0.126
55,Lake,2530,0.04
56,Klamath,58385,0.924
56,Lake,4798,0.076
57,Gilliam,1871,0.03
57,Morrow,11173,0.178
57,Sherman,1765,0.028
57,Umatilla,45783,0.728
57,Wasco,2264,0.036
58,Umatilla,30106,0.479
58,Union,25748,0.41
58,Wallowa,7008,0.111
59,Deschutes,17195,0.272
59,Jefferson,21720,0.343
59,Wasco,22949,0.363
59,Wheeler,1441,0.023
60,Baker,16134,0.257
60,Grant,7445,0.118
60,Harney,7422,0.118
60,Lake,567,0.009
60,Malheur,31313,0.498
