HD #,County,County Pop. in HD,% of HD in County
1,Erie,60428,1
2,Erie,61102,1
3,Erie,63364,1
4,Erie,60603,1
5,Berks,61841,1
6,Crawford,50259,0.78
6,Erie,14171,0.22
7,Mercer,63943,1
8,Butler,23313,0.382
8,Mercer,37664,0.618
9,Lawrence,60516,1
10,Beaver,27671,0.444
10,Butler,9239,0.148
10,Lawrence,25411,0.408
11,Butler,60755,1
12,Butler,61137,1
13,Chester,58883,0.928
13,Lancaster,4563,0.072
14,Beaver,47495,0.789
14,Butler,12724,0.211
15,Beaver,35809,0.593
15,Washington,24562,0.407
16,Allegheny,2852,0.046
16,Beaver,59564,0.954
17,Crawford,21292,0.341
17,Erie,20898,0.335
17,Lawrence,5181,0.083
17,Mercer,15031,0.241
18,Bucks,60427,1
19,Allegheny,60421,1
20,Allegheny,60424,1
21,Allegheny,60110,1
22,Lehigh,61697,1
23,Allegheny,61268,1
24,Allegheny,60119,1
25,Allegheny,61621,1
26,Chester,55908,0.865
26,Montgomery,8739,0.135
27,Allegheny,60431,1
28,Allegheny,61510,1
29,Bucks,63429,1
30,Allegheny,63379,1
31,Bucks,63073,1
32,Allegheny,64219,1
33,Allegheny,43004,0.702
33,Westmoreland,18273,0.298
34,Allegheny,60609,1
35,Allegheny,61200,1
36,Allegheny,60847,1
37,Lancaster,61166,1
38,Allegheny,64003,1
39,Allegheny,48421,0.803
39,Washington,11881,0.197
40,Allegheny,40419,0.656
40,Washington,21213,0.344
41,Lancaster,62692,1
42,Allegheny,60780,1
43,Lancaster,61192,1
44,Allegheny,61658,1
45,Allegheny,61008,1
46,Allegheny,29730,0.469
46,Washington,33635,0.531
47,York,64187,1
48,Washington,61340,1
49,Fayette,10675,0.177
49,Washington,49572,0.823
50,Fayette,17995,0.289
50,Greene,38686,0.621
50,Washington,5617,0.09
51,Fayette,51241,0.813
51,Somerset,11787,0.187
52,Fayette,56695,0.879
52,Westmoreland,7780,0.121
53,Montgomery,61659,1
54,Allegheny,15315,0.254
54,Westmoreland,45023,0.746
55,Armstrong,6547,0.105
55,Indiana,873,0.014
55,Westmoreland,55041,0.881
56,Westmoreland,60672,1
57,Westmoreland,62920,1
58,Westmoreland,64228,1
59,Somerset,13373,0.207
59,Westmoreland,51232,0.793
60,Armstrong,45302,0.737
60,Butler,10842,0.176
60,Indiana,5306,0.086
61,Montgomery,61503,1
62,Indiana,63460,1
63,Armstrong,17092,0.28
63,Clarion,39988,0.655
63,Forest,3990,0.065
64,Butler,5852,0.096
64,Venango,54984,0.904
65,Crawford,17214,0.274
65,Forest,3726,0.059
65,Warren,41815,0.666
66,Indiana,19241,0.299
66,Jefferson,45200,0.701
67,Cameron,5085,0.079
67,McKean,43450,0.673
67,Potter,15984,0.248
68,Bradford,17058,0.282
68,Potter,1473,0.024
68,Tioga,41981,0.694
69,Bedford,12902,0.2
69,Somerset,51559,0.8
70,Montgomery,63899,1
71,Cambria,64013,0.984
71,Somerset,1023,0.016
72,Cambria,64033,1
73,Cambria,15633,0.241
73,Clearfield,49259,0.759
74,Chester,62890,1
75,Clearfield,32383,0.503
75,Elk,31946,0.497
76,Centre,24111,0.381
76,Clinton,39238,0.619
77,Centre,64021,1
78,Bedford,36860,0.574
78,Franklin,12476,0.194
78,Fulton,14845,0.231
79,Blair,63113,1
