HD #,County,County Pop. in HD,% of HD in County
1,Providence,13881,1
2,Providence,13821,1
3,Providence,13949,1
4,Providence,13713,1
5,Providence,14328,1
6,Providence,14226,1
7,Providence,14211,1
8,Providence,13987,1
9,Providence,13953,1
10,Providence,14169,1
11,Providence,14235,1
12,Providence,14094,1
13,Providence,13792,1
14,Providence,14342,1
15,Providence,14273,1
16,Providence,13831,1
17,Providence,14190,1
18,Providence,14222,1
19,Kent,12387,0.9
19,Providence,1370,0.1
20,Kent,11529,0.828
20,Providence,2402,0.172
21,Kent,13767,1
22,Kent,13749,1
23,Kent,14006,1
24,Kent,13752,1
25,Kent,13714,1
26,Kent,13705,1
27,Kent,14052,1
28,Kent,13865,1
28,Providence,4,0
29,Kent,14377,1
30,Kent,14324,1
31,Washington,14331,1
32,Washington,14007,1
33,Washington,14337,1
34,Washington,14202,1
35,Washington,14311,1
36,Washington,13958,1
37,Washington,14356,1
38,Washington,13785,1
39,Washington,13692,1
40,Kent,2931,0.204
40,Providence,11452,0.796
41,Providence,14344,1
42,Providence,14350,1
43,Providence,13811,1
44,Providence,14342,1
45,Providence,14143,1
46,Providence,14308,1
47,Providence,14378,1
48,Providence,14367,1
49,Providence,14059,1
50,Providence,13769,1
51,Providence,14043,1
52,Providence,14166,1
53,Providence,14320,1
54,Providence,14272,1
55,Providence,13920,1
56,Providence,14324,1
57,Providence,14153,1
58,Providence,14352,1
59,Providence,13750,1
60,Providence,14228,1
61,Providence,13752,1
62,Providence,14034,1
63,Providence,14379,1
64,Providence,13808,1
65,Providence,14285,1
66,Bristol,9314,0.671
66,Providence,4565,0.329
67,Bristol,13711,1
68,Bristol,13700,1
69,Bristol,13150,0.952
69,Newport,669,0.048
70,Newport,13736,1
71,Newport,13736,1
72,Newport,13684,1
73,Newport,13687,1
74,Newport,13684,1
75,Newport,13692,1
