HD #,County,County Pop. in HD,% of HD in County
1,Oconee,36528,1
2,Oconee,37745,1
3,Pickens,38114,1
4,Pickens,38179,1
5,Pickens,38035,1
6,Anderson,38039,1
7,Abbeville,66,0.002
7,Anderson,36374,0.998
8,Anderson,36890,1
9,Anderson,37579,1
10,Anderson,26931,0.706
10,Greenville,6327,0.166
10,Pickens,4896,0.128
11,Abbeville,25351,0.691
11,Anderson,11313,0.309
12,Greenwood,26370,0.72
12,McCormick,10233,0.28
13,Greenwood,38116,1
14,Greenwood,5175,0.136
14,Laurens,32920,0.864
15,Berkeley,22682,0.619
15,Charleston,13943,0.381
16,Greenville,13620,0.358
16,Laurens,24384,0.642
17,Greenville,38206,1
18,Greenville,38189,1
19,Greenville,37944,1
20,Greenville,38123,1
21,Greenville,38205,1
22,Greenville,38226,1
23,Greenville,36374,1
24,Greenville,37893,1
25,Greenville,36713,1
26,York,36914,1
27,Greenville,38199,1
28,Greenville,37306,1
29,Cherokee,21485,0.575
29,Chester,863,0.023
29,York,15043,0.402
30,Cherokee,33857,0.915
30,York,3151,0.085
31,Spartanburg,37344,1
32,Spartanburg,36893,1
33,Spartanburg,38061,1
34,Spartanburg,37661,1
35,Greenville,12758,0.334
35,Spartanburg,25435,0.666
36,Greenville,3142,0.084
36,Spartanburg,34329,0.916
37,Spartanburg,36376,1
38,Spartanburg,38208,1
39,Lexington,21139,0.553
39,Saluda,17086,0.447
40,Newberry,37508,1
41,Chester,8667,0.234
41,Fairfield,23956,0.646
41,Richland,4483,0.121
42,Laurens,9233,0.242
42,Union,28961,0.758
43,Chester,23610,0.639
43,York,13314,0.361
44,Lancaster,38086,1
45,Lancaster,28443,0.767
45,York,8663,0.233
46,York,37609,1
47,York,37145,1
48,York,37326,1
49,York,36908,1
50,Kershaw,4790,0.131
50,Lee,19220,0.526
50,Sumter,12548,0.343
51,Sumter,36673,1
52,Kershaw,38228,1
53,Chesterfield,33264,0.911
53,Lancaster,3251,0.089
54,Chesterfield,6743,0.184
54,Darlington,3909,0.107
54,Marlboro,25960,0.709
55,Darlington,1365,0.037
55,Dillon,29383,0.802
55,Horry,2898,0.079
55,Marlboro,2973,0.081
56,Horry,38015,1
57,Dillon,2679,0.073
57,Horry,3013,0.082
57,Marion,30945,0.845
58,Horry,36435,1
59,Darlington,3191,0.088
59,Florence,33215,0.912
60,Darlington,7992,0.22
60,Florence,28390,0.78
61,Florence,34287,0.942
61,Marion,2117,0.058
62,Darlington,33605,0.879
62,Florence,4617,0.121
63,Florence,36376,1
64,Clarendon,31895,0.862
64,Sumter,5108,0.138
65,Chesterfield,6727,0.184
65,Darlington,18619,0.51
65,Kershaw,4287,0.117
65,Lancaster,6872,0.188
66,Orangeburg,36761,1
67,Sumter,37606,1
68,Horry,37815,1
69,Lexington,37568,1
70,Richland,20874,0.574
70,Sumter,15521,0.426
71,Lexington,1822,0.05
71,Richland,34663,0.95
72,Richland,37892,1
73,Richland,38232,1
74,Richland,36773,1
75,Richland,37179,1
76,Richland,38180,1
77,Richland,38188,1
78,Richland,37520,1
79,Richland,38199,1
80,Kershaw,14392,0.392
80,Richland,22321,0.608
81,Aiken,38027,1
82,Aiken,15075,0.405
82,Edgefield,19390,0.52
82,Saluda,2789,0.075
83,Aiken,30581,0.801
83,Edgefield,7595,0.199
84,Aiken,38210,1
85,Lexington,38132,1
86,Aiken,38206,1
87,Lexington,38176,1
88,Lexington,38058,1
89,Lexington,38033,1
90,Bamberg,15987,0.44
90,Barnwell,3450,0.095
90,Colleton,16938,0.466
91,Allendale,10419,0.279
91,Barnwell,19171,0.514
91,Orangeburg,7697,0.206
92,Berkeley,36655,1
93,Calhoun,15175,0.405
93,Lexington,11264,0.301
93,Orangeburg,11022,0.294
94,Charleston,1596,0.044
94,Dorchester,34806,0.956
95,Orangeburg,37021,1
96,Lexington,38199,1
97,Colleton,2625,0.072
97,Dorchester,33987,0.928
98,Dorchester,36569,1
99,Berkeley,23975,0.647
99,Charleston,13086,0.353
100,Berkeley,36490,1
101,Clarendon,3076,0.084
101,Williamsburg,33350,0.916
102,Berkeley,31547,0.833
102,Dorchester,6334,0.167
103,Georgetown,32651,0.894
103,Horry,2811,0.077
103,Williamsburg,1073,0.029
104,Horry,36892,1
105,Horry,37637,1
106,Horry,36572,1
107,Horry,37203,1
108,Charleston,8931,0.245
108,Georgetown,27507,0.755
109,Charleston,26042,0.689
109,Dorchester,11764,0.311
110,Charleston,37422,1
111,Charleston,36625,1
112,Charleston,36943,1
113,Charleston,32418,0.876
113,Dorchester,4595,0.124
114,Charleston,28136,0.768
114,Dorchester,8500,0.232
115,Charleston,37252,1
116,Charleston,30180,0.827
116,Colleton,6293,0.173
117,Berkeley,26494,0.721
117,Charleston,10273,0.279
118,Beaufort,30199,0.811
118,Jasper,7033,0.189
119,Charleston,37362,1
120,Beaufort,34212,0.936
120,Jasper,2338,0.064
121,Beaufort,23439,0.643
121,Colleton,13036,0.357
122,Beaufort,119,0.003
122,Hampton,21090,0.576
122,Jasper,15406,0.421
123,Beaufort,37114,1
124,Beaufort,37150,1
