HD #,County,County Pop. in HD,% of HD in County
1,Sullivan,61462,1
2,Sullivan,61238,1
3,Carter,11360,0.178
3,Johnson,18244,0.286
3,Sullivan,34123,0.535
4,Carter,46064,0.716
4,Unicoi,18313,0.284
5,Greene,61081,1
6,Washington,61864,1
7,Washington,61115,1
8,Blount,61201,1
9,Hancock,6819,0.107
9,Hawkins,56833,0.893
10,Hamblen,62544,1
11,Cocke,35662,0.577
11,Greene,7750,0.125
11,Jefferson,18415,0.298
12,Sevier,61285,1
13,Knox,62200,1
14,Knox,61673,1
15,Knox,61164,1
16,Knox,61472,1
17,Jefferson,32992,0.536
17,Sevier,28604,0.464
18,Knox,61774,1
19,Knox,61823,1
20,Blount,61809,1
21,Loudon,35573,0.545
21,Monroe,29675,0.455
22,Bradley,36261,0.559
22,Meigs,11753,0.181
22,Polk,16825,0.259
23,McMinn,52266,0.779
23,Monroe,14844,0.221
24,Bradley,62702,1
25,Cumberland,56053,0.834
25,Putnam,5618,0.084
25,Van Buren,5548,0.083
26,Hamilton,67292,1
27,Hamilton,67289,1
28,Hamilton,67292,1
29,Hamilton,67293,1
30,Hamilton,67297,1
31,Bledsoe,12876,0.199
31,Rhea,31809,0.491
31,Roane,6031,0.093
31,Sequatchie,14112,0.218
32,Loudon,12983,0.212
32,Roane,48150,0.788
33,Anderson,66312,1
34,Rutherford,66164,1
35,Claiborne,32213,0.527
35,Grainger,22657,0.371
35,Union,6199,0.102
36,Anderson,8817,0.141
36,Campbell,40716,0.652
36,Union,12910,0.207
37,Rutherford,65360,1
38,Clay,7861,0.12
38,Fentress,8308,0.126
38,Macon,22248,0.339
38,Pickett,5077,0.077
38,Scott,22228,0.338
39,Franklin,40290,0.654
39,Marion,14947,0.243
39,Moore,6362,0.103
40,DeKalb,12597,0.191
40,Smith,19166,0.291
40,Sumner,26257,0.398
40,Trousdale,7870,0.119
41,Fentress,9651,0.148
41,Jackson,11638,0.178
41,Morgan,21987,0.336
41,Overton,22083,0.338
42,Putnam,66703,1
43,Grundy,13703,0.205
43,Warren,27340,0.409
43,White,25841,0.386
44,Sumner,67137,1
45,Sumner,67251,1
46,Cannon,13801,0.207
46,DeKalb,6126,0.092
46,Wilson,46878,0.702
47,Coffee,52796,0.809
47,Warren,12499,0.191
48,Rutherford,66257,1
49,Rutherford,64823,1
50,Davidson,61147,1
51,Davidson,65623,1
52,Davidson,63738,1
53,Davidson,61225,1
54,Davidson,62106,1
55,Davidson,61450,1
56,Davidson,61678,1
57,Wilson,67115,1
58,Davidson,61592,1
59,Davidson,64433,1
60,Davidson,63689,1
61,Williamson,61052,1
62,Bedford,45058,0.726
62,Lincoln,17005,0.274
63,Williamson,61077,1
64,Maury,62026,1
65,Williamson,61053,1
66,Robertson,66283,1
67,Montgomery,66481,1
68,Montgomery,66726,1
69,Dickson,23373,0.349
69,Hickman,24690,0.369
69,Maury,18930,0.283
70,Giles,29485,0.455
70,Lawrence,35290,0.545
71,Hardin,26026,0.421
71,Lawrence,6579,0.106
71,Lewis,12161,0.197
71,Wayne,17021,0.275
72,Chester,17131,0.265
72,Decatur,11757,0.182
72,Henderson,27769,0.43
72,Perry,7915,0.123
73,Madison,61731,1
74,Houston,8426,0.127
74,Humphreys,18538,0.281
74,Montgomery,39124,0.592
75,Benton,16489,0.265
75,Henry,32330,0.52
75,Stewart,13324,0.214
76,Carroll,13984,0.227
76,Obion,12587,0.204
76,Weakley,35021,0.569
77,Dyer,38335,0.586
77,Lake,7832,0.12
77,Obion,19220,0.294
78,Cheatham,39105,0.598
78,Dickson,26293,0.402
79,Carroll,14538,0.226
79,Gibson,49683,0.774
80,Hardeman,24529,0.402
80,Madison,36563,0.598
81,Tipton,61081,1
82,Crockett,14586,0.238
82,Haywood,18787,0.307
82,Lauderdale,27815,0.455
83,Shelby,65808,1
84,Shelby,67196,1
85,Shelby,67197,1
86,Shelby,67018,1
87,Shelby,65681,1
88,Shelby,65234,1
89,Knox,62120,1
90,Shelby,66004,1
91,Shelby,65943,1
92,Franklin,762,0.012
92,Lincoln,16356,0.268
92,Marion,13290,0.218
92,Marshall,30617,0.502
93,Shelby,67251,1
94,Fayette,38413,0.572
94,Hardeman,2724,0.041
94,McNairy,26075,0.388
95,Shelby,65174,1
96,Shelby,66707,1
97,Shelby,66733,1
98,Shelby,65479,1
99,Shelby,66219,1
