HD #,County,County Pop. in HD,% of HD in County
1,Bowie,92565,0.558
1,Franklin,10605,0.064
1,Lamar,49793,0.3
1,Red River,12860,0.078
2,Hopkins,35161,0.202
2,Hunt,86129,0.495
2,Van Zandt,52579,0.302
3,Montgomery,121750,0.738
3,Waller,43205,0.262
4,Henderson,65079,0.386
4,Kaufman,103350,0.614
5,Camp,12401,0.077
5,Morris,12934,0.081
5,Rains,10914,0.068
5,Smith,49706,0.31
5,Titus,32334,0.202
5,Wood,41964,0.262
6,Smith,160008,1
7,Gregg,121730,0.756
7,Upshur,39309,0.244
8,Anderson,58458,0.363
8,Freestone,19816,0.123
8,Hill,35089,0.218
8,Navarro,47735,0.296
9,Cass,30464,0.183
9,Harrison,65631,0.394
9,Marion,10546,0.063
9,Panola,23796,0.143
9,Sabine,10834,0.065
9,Shelby,25448,0.153
10,Ellis,149610,0.917
10,Henderson,13453,0.083
11,Cherokee,50845,0.301
11,Nacogdoches,64524,0.382
11,Rusk,53330,0.316
12,Brazos,31664,0.197
12,Falls,17866,0.111
12,Limestone,23384,0.146
12,McLennan,71037,0.442
12,Robertson,16622,0.104
13,Austin,28417,0.167
13,Burleson,17187,0.101
13,Colorado,20874,0.122
13,Fayette,24554,0.144
13,Grimes,26604,0.156
13,Lavaca,19263,0.113
13,Washington,33718,0.198
14,Brazos,163187,1
15,Montgomery,167349,1
16,Montgomery,166647,1
17,Bastrop,74171,0.454
17,Caldwell,38066,0.233
17,Gonzales,19807,0.121
17,Karnes,14824,0.091
17,Lee,16612,0.102
18,Liberty,75643,0.445
18,San Jacinto,26384,0.155
18,Walker,67861,0.399
19,Hardin,54635,0.318
19,Jasper,35710,0.208
19,Newton,14445,0.084
19,Polk,45413,0.264
19,Tyler,21766,0.127
20,Burnet,42750,0.267
20,Milam,24757,0.155
20,Williamson,92308,0.578
21,Jefferson,90343,0.525
21,Orange,81837,0.475
22,Jefferson,161930,1
23,Chambers,35096,0.214
23,Galveston,128624,0.786
24,Galveston,162685,1
25,Brazoria,137466,0.789
25,Matagorda,36702,0.211
