HD #,County,County Pop. in HD,% of HD in County
Addison-1,Addison,8496,1
Addison-2,Addison,4496,1
Addison-3,Addison,7897,1
Addison-4,Addison,8922,1
Addison-5,Addison,3778,1
Addison-Rutland,Addison,2934,0.735
Addison-Rutland,Rutland,1056,0.265
Bennington-1,Bennington,3951,1
Bennington-3,Bennington,3840,1
Bennington-4,Bennington,7827,1
Bennington-Rutland,Bennington,2564,0.621
Bennington-Rutland,Rutland,1566,0.379
Bennington-2-1,Bennington,7997,1
Bennington-2-2,Bennington,7767,1
Chittenden-1,Chittenden,4081,1
Chittenden-2,Chittenden,8698,1
Chittenden-3,Chittenden,8025,1
Chittenden-10,Chittenden,9039,1
Chittenden-4-1,Chittenden,3787,1
Chittenden-4-2,Chittenden,4363,1
Chittenden-5-1,Chittenden,3843,1
Chittenden-5-2,Chittenden,3975,1
Chittenden-6-1,Chittenden,8257,1
Chittenden-6-2,Chittenden,3879,1
Chittenden-6-3,Chittenden,8513,1
Chittenden-6-4,Chittenden,9706,1
Chittenden-6-5,Chittenden,8623,1
Chittenden-6-6,Chittenden,3173,1
Chittenden-6-7,Chittenden,7533,1
Chittenden-7-1,Chittenden,4533,1
Chittenden-7-2,Chittenden,4299,1
Chittenden-7-3,Chittenden,4518,1
Chittenden-7-4,Chittenden,4554,1
Chittenden-8-1,Chittenden,8199,1
Chittenden-8-2,Chittenden,9070,1
Chittenden-8-3,Chittenden,4347,1
Chittenden-9-1,Chittenden,9012,1
Chittenden-9-2,Chittenden,8055,1
Caledonia-1,Caledonia,4162,1
Caledonia-2,Caledonia,4161,1
Caledonia-3,Caledonia,7603,1
Caledonia-4,Caledonia,8763,1
Caledonia-Washington,Caledonia,2928,0.671
Caledonia-Washington,Washington,1433,0.329
Essex-Caledonia,Caledonia,493,0.131
Essex-Caledonia,Essex,3268,0.869
Essex-Caledonia-Orleans,Caledonia,581,0.146
Essex-Caledonia-Orleans,Essex,3038,0.765
Essex-Caledonia-Orleans,Orleans,350,0.088
Franklin-1,Franklin,4515,1
Franklin-2,Franklin,4285,1
Franklin-4,Franklin,8617,1
Franklin-5,Franklin,8940,1
Franklin-6,Franklin,4490,1
Franklin-7,Franklin,3982,1
Franklin-3-1,Franklin,8583,1
Franklin-3-2,Franklin,4334,1
Grand-Isle-Chittenden,Chittenden,1313,0.159
Grand-Isle-Chittenden,Grand Isle,6970,0.841
Lamoille-1,Lamoille,4314,1
Lamoille-2,Lamoille,8424,1
Lamoille-3,Lamoille,4332,1
Lamoille-Washington,Lamoille,6082,0.762
Lamoille-Washington,Washington,1904,0.238
Orleans-1,Orleans,8010,1
Orleans-2,Orleans,8843,1
Orange-Caledonia,Caledonia,1022,0.232
Orange-Caledonia,Orange,3389,0.768
Orleans-Lamoille,Lamoille,1323,0.293
Orleans-Lamoille,Orleans,3187,0.707
Orleans-Caledonia,Caledonia,1514,0.181
Orleans-Caledonia,Orleans,6841,0.819
Orange-1,Orange,8835,1
Orange-2,Orange,4426,1
Orange-Washington-Addison,Addison,298,0.036
Orange-Washington-Addison,Orange,7316,0.881
Orange-Washington-Addison,Washington,691,0.083
Rutland-1,Rutland,3864,1
Rutland-2,Rutland,8871,1
Rutland-3,Rutland,8421,1
Rutland-4,Rutland,4054,1
Rutland-6,Rutland,7517,1
Rutland-Bennington,Bennington,714,0.157
Rutland-Bennington,Rutland,3831,0.843
Rutland-Windsor-1,Rutland,3128,0.77
Rutland-Windsor-1,Windsor,936,0.23
Rutland-5-1,Rutland,4134,1
Rutland-5-2,Rutland,3998,1
Rutland-5-3,Rutland,4099,1
Rutland-5-4,Rutland,4264,1
Rutland-Windsor-2,Rutland,2293,0.539
Rutland-Windsor-2,Windsor,1963,0.461
Windham-1,Windham,4327,1
Windham-3,Windham,7575,1
Windham-4,Windham,7521,1
Windham-5,Windham,4036,1
Windham-6,Windham,3912,1
Windham-2-1,Windham,4198,1
Windham-2-2,Windham,3932,1
Windham-2-3,Windham,3916,1
Washington-1,Washington,9094,1
Washington-2,Washington,7924,1
Washington-3,Washington,9052,1
Washington-4,Washington,7855,1
Washington-5,Washington,4307,1
Washington-6,Washington,4438,1
Washington-7,Washington,7772,1
Washington-Chittenden,Chittenden,3150,0.383
Washington-Chittenden,Washington,5064,0.617
Windham-Bennington-Windsor,Bennington,769,0.177
Windham-Bennington-Windsor,Windham,3020,0.693
Windham-Bennington-Windsor,Windsor,566,0.13
Windham-Bennington,Bennington,1696,0.45
Windham-Bennington,Windham,2076,0.55
Windsor-1,Windsor,8045,1
Windsor-2,Windsor,4192,1
Windsor-5,Windsor,4333,1
Windsor-Rutland,Rutland,546,0.123
Windsor-Rutland,Windsor,3905,0.877
Windsor-3-1,Windsor,4196,1
Windsor-3-2,Windsor,9042,1
Windsor-4-1,Windsor,3882,1
Windsor-4-2,Windsor,7921,1
Windsor-Orange-1,Orange,1284,0.316
Windsor-Orange-1,Windsor,2773,0.684
Windsor-Orange-2,Orange,3686,0.429
Windsor-Orange-2,Windsor,4916,0.571
