AD #,County,County Pop. in AD,% of AD in County
1,Brown,8424,0.147
1,Door,27785,0.486
1,Kewaunee,20574,0.36
1,Manitowoc,437,0.008
2,Brown,33946,0.589
2,Manitowoc,23578,0.409
2,Outagamie,151,0.003
3,Calumet,34555,0.602
3,Outagamie,22886,0.398
4,Brown,57486,1
5,Brown,8740,0.152
5,Outagamie,48730,0.848
6,Brown,5929,0.103
6,Outagamie,9311,0.162
6,Shawano,33877,0.589
6,Waupaca,8389,0.146
7,Milwaukee,57492,1
8,Milwaukee,57196,1
9,Milwaukee,57289,1
10,Milwaukee,57428,1
11,Milwaukee,57503,1
12,Milwaukee,57494,1
13,Milwaukee,33325,0.58
13,Waukesha,24127,0.42
14,Milwaukee,31754,0.551
14,Waukesha,25843,0.449
15,Milwaukee,36764,0.641
15,Waukesha,20608,0.359
16,Milwaukee,57458,1
17,Milwaukee,57354,1
18,Milwaukee,57480,1
19,Milwaukee,57546,1
20,Milwaukee,57428,1
21,Milwaukee,57449,1
22,Milwaukee,6777,0.118
22,Washington,10509,0.183
22,Waukesha,40202,0.699
23,Milwaukee,25111,0.436
23,Ozaukee,32472,0.564
24,Milwaukee,20436,0.357
24,Ozaukee,9500,0.166
24,Washington,20003,0.349
24,Waukesha,7343,0.128
25,Calumet,8034,0.14
25,Manitowoc,49290,0.86
26,Sheboygan,57577,1
27,Calumet,309,0.005
27,Manitowoc,8137,0.141
27,Sheboygan,49094,0.853
28,Burnett,9534,0.166
28,Polk,41262,0.718
28,St. Croix,6671,0.116
29,Dunn,23617,0.41
29,St. Croix,33920,0.59
30,Pierce,14122,0.247
30,St. Croix,43119,0.753
31,Rock,26790,0.468
31,Walworth,30450,0.532
32,Kenosha,3379,0.059
32,Racine,2149,0.037
32,Walworth,51996,0.904
33,Jefferson,33022,0.574
33,Walworth,6336,0.11
33,Waukesha,18214,0.316
34,Florence,4423,0.077
34,Forest,2310,0.04
34,Oneida,32665,0.569
34,Vilas,17989,0.313
35,Langlade,17446,0.303
35,Lincoln,28743,0.499
35,Marathon,3548,0.062
35,Oneida,3333,0.058
35,Shawano,4492,0.078
36,Forest,6994,0.122
36,Langlade,2531,0.044
36,Marinette,18928,0.33
36,Menominee,4232,0.074
36,Oconto,21193,0.369
36,Shawano,3554,0.062
37,Columbia,4991,0.087
37,Dane,13635,0.237
37,Dodge,15761,0.274
37,Jefferson,23112,0.402
38,Dane,11939,0.208
38,Jefferson,19526,0.339
38,Waukesha,26053,0.453
39,Dodge,54651,0.952
39,Washington,2736,0.048
40,Outagamie,1610,0.028
40,Shawano,26,0
40,Waupaca,44021,0.767
40,Waushara,11708,0.204
41,Adams,13507,0.236
41,Columbia,2439,0.043
41,Fond du Lac,9133,0.159
41,Green Lake,16639,0.29
41,Juneau,2,0
41,Marquette,12438,0.217
41,Sauk,3089,0.054
41,Waushara,89,0.002
42,Columbia,33934,0.592
42,Dane,4454,0.078
42,Dodge,10483,0.183
42,Fond du Lac,3036,0.053
42,Green Lake,2412,0.042
42,Marquette,2966,0.052
43,Dane,7747,0.135
43,Jefferson,8026,0.14
43,Rock,29047,0.506
43,Walworth,12621,0.22
44,Rock,57397,1
45,Green,10561,0.183
45,Rock,47097,0.817
46,Dane,57460,1
47,Dane,57550,1
48,Dane,57506,1
49,Grant,51208,0.893
49,Iowa,153,0.003
49,Lafayette,1699,0.03
49,Richland,4286,0.075
50,Juneau,26662,0.463
50,Monroe,1829,0.032
50,Richland,9201,0.16
50,Sauk,19085,0.331
50,Vernon,847,0.015
51,Green,14974,0.26
51,Iowa,16421,0.285
51,Lafayette,15137,0.263
51,Richland,4534,0.079
51,Sauk,6514,0.113
52,Fond du Lac,57232,1
53,Dodge,7864,0.137
53,Fond du Lac,18204,0.318
53,Winnebago,31170,0.545
54,Winnebago,57252,1
55,Outagamie,14216,0.247
55,Winnebago,43277,0.753
56,Outagamie,46831,0.813
56,Winnebago,10751,0.187
57,Outagamie,32960,0.573
57,Winnebago,24544,0.427
58,Washington,57233,1
59,Calumet,6073,0.106
59,Fond du Lac,14028,0.244
59,Sheboygan,8836,0.154
59,Washington,28454,0.496
60,Ozaukee,44423,0.774
60,Washington,12952,0.226
61,Kenosha,57618,1
62,Racine,57320,1
63,Racine,57390,1
64,Kenosha,47994,0.838
64,Racine,9292,0.162
65,Kenosha,57435,1
66,Racine,57545,1
67,Barron,20,0
67,Chippewa,41780,0.73
67,Dunn,15446,0.27
68,Chippewa,20583,0.359
68,Clark,10362,0.181
68,Eau Claire,22681,0.396
68,Jackson,1119,0.02
68,Trempealeau,2511,0.044
69,Clark,23520,0.408
69,Marathon,16102,0.279
69,Wood,18017,0.313
70,Jackson,1482,0.026
70,Monroe,30970,0.538
70,Portage,8940,0.155
70,Wood,16210,0.281
71,Portage,57509,1
72,Adams,7368,0.128
72,Portage,3570,0.062
72,Waushara,12699,0.221
72,Wood,33812,0.589
73,Burnett,5724,0.1
73,Douglas,42982,0.748
73,Washburn,8747,0.152
74,Ashland,16157,0.281
74,Bayfield,15014,0.261
74,Douglas,1177,0.02
74,Iron,5916,0.103
74,Price,14159,0.246
74,Sawyer,1630,0.028
74,Vilas,3441,0.06
75,Barron,45850,0.798
75,Burnett,199,0.003
75,Dunn,677,0.012
75,Polk,2943,0.051
75,St. Croix,629,0.011
75,Washburn,7164,0.125
76,Dane,57617,1
77,Dane,57348,1
78,Dane,57368,1
79,Dane,57580,1
80,Dane,41512,0.72
80,Green,11307,0.196
80,Iowa,4823,0.084
81,Columbia,15469,0.269
81,Dane,6357,0.111
81,Iowa,2290,0.04
81,Sauk,33288,0.58
82,Milwaukee,57430,1
83,Milwaukee,8632,0.15
83,Racine,11712,0.204
83,Walworth,825,0.014
