HD #,County,County Pop. in HD,% of HD in County
1,Crook,7083,0.741
1,Weston,2477,0.259
2,Goshen,2621,0.266
2,Niobrara,2484,0.253
2,Weston,4731,0.481
3,Campbell,6915,0.71
3,Converse,2822,0.29
4,Converse,1182,0.12
4,Platte,8667,0.88
5,Goshen,9763,1
6,Converse,9829,1
7,Laramie,9307,1
8,Laramie,9052,1
9,Laramie,9469,1
10,Goshen,865,0.095
10,Laramie,8241,0.905
11,Laramie,9026,1
12,Laramie,9810,1
13,Albany,9061,1
14,Albany,9038,1
15,Carbon,9077,1
16,Teton,9002,1
17,Sweetwater,9453,1
18,Lincoln,4316,0.446
18,Sweetwater,3736,0.386
18,Uinta,1617,0.167
19,Uinta,9694,1
20,Sublette,9448,1
21,Lincoln,8937,1
22,Lincoln,4853,0.539
22,Sublette,799,0.089
22,Teton,3357,0.373
23,Teton,8935,1
24,Park,8983,1
25,Park,9123,1
26,Big Horn,8588,0.958
26,Park,376,0.042
27,Big Horn,536,0.059
27,Washakie,8533,0.941
28,Big Horn,2544,0.282
28,Fremont,869,0.096
28,Hot Springs,4812,0.534
28,Park,789,0.088
29,Sheridan,9302,1
30,Sheridan,9598,1
31,Campbell,9811,1
32,Campbell,9779,1
33,Fremont,9771,1
34,Fremont,9769,1
35,Natrona,9766,1
36,Natrona,9260,1
37,Natrona,9167,1
38,Natrona,9746,1
39,Sweetwater,9744,1
40,Johnson,8569,0.953
40,Sheridan,421,0.047
41,Laramie,9016,1
42,Laramie,9506,1
43,Laramie,9282,1
44,Laramie,9029,1
45,Albany,8963,1
46,Albany,8942,1
47,Albany,295,0.033
47,Carbon,6808,0.762
47,Sweetwater,1831,0.205
48,Sweetwater,9319,1
49,Uinta,9807,1
50,Park,8934,1
51,Sheridan,9795,1
52,Campbell,9798,1
53,Campbell,9830,1
54,Fremont,9858,1
55,Fremont,9856,1
56,Natrona,9344,1
57,Natrona,9200,1
58,Natrona,9201,1
59,Natrona,9766,1
60,Sweetwater,9723,1
