SD #,County,County Pop. in SD,% of SD in County
1,New Castle,41995,1
2,New Castle,41184,1
3,New Castle,40878,1
4,New Castle,41287,1
5,New Castle,40722,1
6,Sussex,41985,1
7,New Castle,42033,1
8,New Castle,44063,1
9,New Castle,41073,1
10,New Castle,44841,1
11,New Castle,42149,1
12,New Castle,44750,1
13,New Castle,42134,1
14,Kent,13465,0.3
14,New Castle,31370,0.7
15,Kent,44527,1
16,Kent,41359,1
17,Kent,44707,1
18,Kent,18252,0.403
18,Sussex,27059,0.597
19,Sussex,42775,1
20,Sussex,42523,1
21,Sussex,42803,1
