SD #,County,County Pop. in SD,% of SD in County
1,Escambia,297619,0.628
1,Okaloosa,24954,0.053
1,Santa Rosa,151372,0.319
2,Bay,168852,0.356
2,Holmes,19927,0.042
2,Jackson,49746,0.105
2,Okaloosa,155868,0.329
2,Walton,55043,0.116
2,Washington,24896,0.052
3,Calhoun,14625,0.031
3,Franklin,11549,0.024
3,Gadsden,46389,0.098
3,Gulf,15863,0.033
3,Hamilton,14799,0.031
3,Jefferson,14761,0.031
3,Leon,275487,0.581
3,Liberty,8365,0.018
3,Madison,19224,0.041
3,Taylor,22570,0.048
3,Wakulla,30776,0.065
4,Duval,393673,0.843
4,Nassau,73314,0.157
5,Baker,27115,0.058
5,Bradford,28520,0.061
5,Clay,190865,0.406
5,Columbia,67531,0.143
5,Dixie,16422,0.035
5,Gilchrist,16939,0.036
5,Lafayette,8870,0.019
5,Levy,40801,0.087
5,Marion,16511,0.035
5,Suwannee,41551,0.088
5,Union,15535,0.033
6,Duval,470590,1
7,Flagler,95696,0.203
7,St. Johns,190039,0.403
7,Volusia,185414,0.394
8,Alachua,247336,0.524
8,Marion,150449,0.319
8,Putnam,74364,0.158
9,Seminole,422718,0.902
9,Volusia,45972,0.098
10,Citrus,141236,0.301
10,Hernando,172778,0.369
10,Pasco,154642,0.33
11,Orange,471085,1
12,Lake,215973,0.456
12,Marion,164338,0.347
12,Sumter,93420,0.197
13,Orange,470829,1
14,Brevard,210312,0.444
14,Volusia,263207,0.556
15,Orange,204042,0.432
15,Osceola,268685,0.568
16,Pasco,149926,0.317
16,Pinellas,323080,0.683
17,Brevard,333064,0.707
17,Indian River,138028,0.293
18,Hillsborough,470486,1
19,Hillsborough,354024,0.748
19,Pinellas,119044,0.252
20,Hillsborough,255878,0.541
20,Pasco,160129,0.339
20,Polk,56881,0.12
21,Hillsborough,148838,0.316
21,Manatee,322833,0.684
22,Lake,81079,0.173
22,Polk,387860,0.827
23,Charlotte,92960,0.197
23,Sarasota,379448,0.803
24,Pinellas,474418,1
25,Martin,146318,0.314
25,Palm Beach,41678,0.089
25,St. Lucie,277789,0.596
26,Charlotte,67018,0.143
26,DeSoto,34862,0.074
26,Glades,12884,0.027
26,Hardee,27731,0.059
26,Highlands,98786,0.21
26,Lee,31022,0.066
26,Okeechobee,39996,0.085
26,Polk,157354,0.335
27,Lee,474201,1
28,Collier,321520,0.678
28,Hendry,39140,0.083
28,Lee,113531,0.239
29,Broward,123631,0.264
29,Palm Beach,344321,0.736
30,Palm Beach,466545,1
31,Palm Beach,467590,1
32,Broward,466155,1
33,Broward,465667,1
34,Broward,465665,1
35,Broward,226948,0.487
35,Miami-Dade,239157,0.513
36,Miami-Dade,465618,1
37,Miami-Dade,465416,1
38,Miami-Dade,466655,1
39,Miami-Dade,393564,0.843
39,Monroe,73090,0.157
40,Miami-Dade,466025,1
