SD #,County,County Pop. in SD,% of SD in County
1,Hawaii,45714,1
2,Hawaii,46920,1
3,Hawaii,47398,1
4,Hawaii,45047,1
5,Maui,53973,1
6,Maui,49400,1
7,Kalawao,90,0.002
7,Maui,51461,0.998
8,Kauai,67091,1
9,Honolulu,54643,1
10,Honolulu,55558,1
11,Honolulu,56913,1
12,Honolulu,57419,1
13,Honolulu,54590,1
14,Honolulu,52805,1
15,Honolulu,66817,1
16,Honolulu,58384,1
17,Honolulu,51123,1
18,Honolulu,57318,1
19,Honolulu,54661,1
20,Honolulu,52806,1
21,Honolulu,51669,1
22,Honolulu,54353,1
23,Honolulu,58255,1
24,Honolulu,62011,1
25,Honolulu,53882,1
