SD #,County,County Pop. in SD,% of SD in County
1st Suffolk,Suffolk,158774,1
2nd Suffolk,Suffolk,156023,1
Hampden,Hampden,157219,1
"Berkshire, Hampshire, Franklin & Hampden",Berkshire,131219,0.842
"Berkshire, Hampshire, Franklin & Hampden",Franklin,10252,0.066
"Berkshire, Hampshire, Franklin & Hampden",Hampden,2570,0.016
"Berkshire, Hampshire, Franklin & Hampden",Hampshire,11742,0.075
2nd Hampden & Hampshire,Hampden,135787,0.861
2nd Hampden & Hampshire,Hampshire,21845,0.139
"Hampshire, Franklin & Worcester",Franklin,61120,0.392
"Hampshire, Franklin & Worcester",Hampshire,93732,0.6
"Hampshire, Franklin & Worcester",Worcester,1258,0.008
1st Hampden & Hampshire,Hampden,139286,0.87
1st Hampden & Hampshire,Hampshire,20889,0.13
"Worcester, Hampden, Hampshire & Middlesex",Hampden,28628,0.177
"Worcester, Hampden, Hampshire & Middlesex",Hampshire,9872,0.061
"Worcester, Hampden, Hampshire & Middlesex",Middlesex,3074,0.019
"Worcester, Hampden, Hampshire & Middlesex",Worcester,120370,0.743
Worcester & Middlesex,Middlesex,8926,0.056
Worcester & Middlesex,Worcester,149161,0.944
1st Worcester,Worcester,169221,1
2nd Worcester,Worcester,171089,1
Worcester & Norfolk,Norfolk,16332,0.099
Worcester & Norfolk,Worcester,149199,0.901
1st Middlesex,Middlesex,165084,1
Middlesex & Worcester,Middlesex,131746,0.775
Middlesex & Worcester,Worcester,38254,0.225
2nd Middlesex & Norfolk,Middlesex,133154,0.843
2nd Middlesex & Norfolk,Norfolk,24712,0.157
3rd Middlesex,Middlesex,169018,1
"Norfolk, Bristol & Middlesex",Bristol,46907,0.293
"Norfolk, Bristol & Middlesex",Middlesex,30348,0.189
"Norfolk, Bristol & Middlesex",Norfolk,83013,0.518
2nd Essex & Middlesex,Essex,109581,0.652
2nd Essex & Middlesex,Middlesex,58418,0.348
1st Essex,Essex,170732,1
1st Essex & Middlesex,Essex,132617,0.781
1st Essex & Middlesex,Middlesex,37217,0.219
2nd Essex,Essex,164671,1
3rd Essex,Essex,165558,1
3rd Essex,Suffolk,9,0
5th Middlesex,Middlesex,168367,1
4th Middlesex,Middlesex,166631,1
2nd Middlesex,Middlesex,171059,1
Middlesex & Suffolk,Middlesex,96007,0.56
Middlesex & Suffolk,Suffolk,75373,0.44
1st Suffolk & Middlesex,Middlesex,22246,0.13
1st Suffolk & Middlesex,Suffolk,148849,0.87
2nd Suffolk & Middlesex,Middlesex,56644,0.33
2nd Suffolk & Middlesex,Suffolk,115124,0.67
1st Middlesex & Norfolk,Middlesex,85146,0.528
1st Middlesex & Norfolk,Norfolk,76015,0.472
Norfolk & Suffolk,Norfolk,88122,0.565
Norfolk & Suffolk,Suffolk,67871,0.435
Bristol & Norfolk,Bristol,92943,0.594
Bristol & Norfolk,Norfolk,63543,0.406
"Norfolk, Bristol & Plymouth",Bristol,15436,0.099
"Norfolk, Bristol & Plymouth",Norfolk,130965,0.836
"Norfolk, Bristol & Plymouth",Plymouth,10240,0.065
Norfolk & Plymouth,Norfolk,126863,0.791
Norfolk & Plymouth,Plymouth,33474,0.209
Plymouth & Norfolk,Norfolk,61285,0.377
Plymouth & Norfolk,Plymouth,101280,0.623
2nd Plymouth & Bristol,Bristol,7676,0.048
2nd Plymouth & Bristol,Plymouth,153195,0.952
1st Plymouth & Bristol,Bristol,82754,0.485
1st Plymouth & Bristol,Plymouth,87917,0.515
1st Bristol & Plymouth,Bristol,147289,0.903
1st Bristol & Plymouth,Plymouth,15834,0.097
2nd Bristol & Plymouth,Bristol,155280,0.963
2nd Bristol & Plymouth,Plymouth,6045,0.037
Plymouth & Barnstable,Barnstable,71960,0.453
Plymouth & Barnstable,Plymouth,86934,0.547
Cape & Islands,Barnstable,143928,0.843
Cape & Islands,Dukes,16535,0.097
Cape & Islands,Nantucket,10172,0.06
