SD #,County,County Pop. in SD,% of SD in County
1,Allegany,75087,0.609
1,Garrett,30097,0.244
1,Washington,18112,0.147
2,Washington,129318,1
3,Frederick,117811,1
4,Carroll,12517,0.098
4,Frederick,115574,0.902
5,Carroll,128134,1
6,Baltimore,122723,1
7,Baltimore,66672,0.52
7,Harford,61575,0.48
8,Baltimore,124285,1
9,Carroll,26483,0.206
9,Howard,101947,0.794
10,Baltimore,116793,1
11,Baltimore,117034,1
12,Baltimore,56613,0.473
12,Howard,63086,0.527
13,Howard,122052,1
14,Montgomery,125800,1
15,Montgomery,119961,1
16,Montgomery,121044,1
17,Montgomery,127326,1
18,Montgomery,119827,1
19,Montgomery,121546,1
20,Montgomery,117716,1
21,Anne Arundel,26425,0.206
21,Prince Georges,101585,0.794
22,Prince Georges,126674,1
23,Prince Georges,117444,1
24,Prince Georges,117361,1
25,Prince Georges,116958,1
26,Prince Georges,117023,1
27,Calvert,66831,0.524
27,Charles,18502,0.145
27,Prince Georges,42267,0.331
28,Charles,128049,1
29,Calvert,21906,0.172
29,St. Marys,105151,0.828
30,Anne Arundel,123388,1
31,Anne Arundel,127273,1
32,Anne Arundel,132253,1
33,Anne Arundel,128317,1
34,Harford,120719,1
35,Cecil,65167,0.51
35,Harford,62532,0.49
36,Caroline,24181,0.189
36,Cecil,35941,0.281
36,Kent,20197,0.158
36,Queen Annes,47798,0.373
37,Caroline,8885,0.07
37,Dorchester,32618,0.257
37,Talbot,37782,0.298
37,Wicomico,47503,0.375
38,Somerset,26470,0.205
38,Wicomico,51230,0.397
38,Worcester,51454,0.398
39,Montgomery,118557,1
40,Baltimore city,115478,1
41,Baltimore city,116108,1
42,Baltimore,123123,1
43,Baltimore city,116032,1
44,Baltimore,77786,0.663
44,Baltimore city,39545,0.337
45,Baltimore city,115380,1
46,Baltimore city,118418,1
47,Prince Georges,124108,1
