SD #,County,County Pop. in SD,% of SD in County
1,Aroostook,36736,1
2,Aroostook,35134,0.891
2,Penobscot,4295,0.109
3,Kennebec,1010,0.027
3,Somerset,35890,0.973
4,Penobscot,9297,0.255
4,Piscataquis,17535,0.481
4,Somerset,9603,0.264
5,Penobscot,38415,1
6,Hancock,3507,0.096
6,Washington,32856,0.904
7,Hancock,38843,1
8,Hancock,12068,0.308
8,Penobscot,27078,0.692
9,Penobscot,38455,1
10,Penobscot,36383,1
11,Waldo,38786,1
12,Knox,38209,1
13,Kennebec,2575,0.07
13,Knox,1527,0.041
13,Lincoln,32785,0.889
14,Kennebec,37144,1
15,Kennebec,38252,1
16,Kennebec,31818,0.825
16,Somerset,6735,0.175
17,Franklin,30768,0.825
17,Kennebec,6539,0.175
18,Androscoggin,5282,0.14
18,Oxford,32444,0.86
19,Cumberland,13531,0.348
19,Oxford,25389,0.652
20,Androscoggin,34069,0.86
20,Cumberland,5542,0.14
21,Androscoggin,36592,1
22,Androscoggin,31759,0.868
22,Kennebec,4813,0.132
23,Lincoln,1672,0.045
23,Sagadahoc,35293,0.955
24,Cumberland,37936,1
25,Cumberland,39293,1
26,Cumberland,36583,1
27,Cumberland,39803,1
28,Cumberland,39669,1
29,Cumberland,36452,1
30,Cumberland,32865,0.826
30,York,6940,0.174
31,York,36194,1
32,York,38101,1
33,York,38874,1
34,York,38419,1
35,York,38603,1
