LD #,County,County Pop. in LD,% of LD in County
1,Williams,14395,1
2,Burke,1968,0.134
2,Divide,2071,0.141
2,Mountrail,2615,0.178
2,Williams,8003,0.546
3,Ward,14626,1
4,Dunn,1330,0.094
4,McKenzie,1399,0.099
4,McLean,1662,0.118
4,Mercer,62,0.004
4,Mountrail,5058,0.359
4,Ward,4570,0.325
5,Ward,14129,1
6,Bottineau,6429,0.45
6,McHenry,5395,0.377
6,Renville,2470,0.173
7,Burleigh,13919,1
8,Burleigh,6875,0.485
8,McLean,7300,0.515
9,Rolette,13937,1
10,Cavalier,3993,0.277
10,Pembina,7413,0.515
10,Walsh,2987,0.208
11,Cass,14781,1
12,Stutsman,13706,1
13,Cass,14862,1
14,Benson,2111,0.146
14,Kidder,2435,0.169
14,Pierce,4357,0.302
14,Sheridan,1321,0.092
14,Wells,4207,0.292
15,Ramsey,11451,0.836
15,Towner,2246,0.164
16,Cass,14897,1
17,Grand Forks,13894,1
18,Grand Forks,13929,1
19,Grand Forks,5680,0.411
19,Walsh,8132,0.589
20,Cass,742,0.052
20,Grand Forks,5451,0.381
20,Traill,8121,0.567
21,Cass,14728,1
22,Cass,14838,1
23,Benson,4549,0.315
23,Eddy,2385,0.165
23,Griggs,2420,0.167
23,Nelson,3126,0.216
23,Steele,1975,0.137
24,Barnes,11066,0.782
24,Cass,1024,0.072
24,Ransom,2066,0.146
25,Cass,1806,0.125
25,Richland,12663,0.875
26,Dickey,3143,0.224
26,Ransom,3391,0.242
26,Richland,3658,0.261
26,Sargent,3829,0.273
27,Cass,14014,1
28,Burleigh,1987,0.145
28,Dickey,2146,0.156
28,Emmons,3550,0.259
28,LaMoure,1247,0.091
28,Logan,1990,0.145
28,McIntosh,2809,0.205
29,Foster,3343,0.245
29,LaMoure,2892,0.212
29,Stutsman,7394,0.543
30,Burleigh,14689,1
31,Grant,2394,0.161
31,Hettinger,1294,0.087
31,Morton,7006,0.472
31,Sioux,4153,0.28
32,Burleigh,14541,1
33,Mercer,8362,0.586
33,Morton,4071,0.285
33,Oliver,1846,0.129
34,Morton,14436,1
35,Burleigh,14787,1
36,Dunn,1045,0.074
36,Hettinger,1183,0.084
36,Morton,1958,0.139
36,Stark,9898,0.703
37,Stark,14301,1
38,Ward,14093,1
39,Adams,2343,0.158
39,Billings,783,0.053
39,Bowman,3151,0.213
39,Dunn,1161,0.078
39,Golden Valley,1680,0.113
39,McKenzie,4961,0.335
39,Slope,727,0.049
40,Ward,14257,1
41,Cass,14668,1
42,Grand Forks,14001,1
43,Grand Forks,13906,1
44,Cass,14213,1
45,Cass,14575,1
46,Cass,14630,1
47,Burleigh,14510,1
