SD #,County,County Pop. in SD,% of SD in County
1,Suffolk,314642,1
2,Suffolk,314984,1
3,Suffolk,314507,1
4,Suffolk,314594,1
5,Nassau,164058,0.521
5,Suffolk,150935,0.479
6,Nassau,314641,1
7,Nassau,314977,1
8,Nassau,230908,0.734
8,Suffolk,83688,0.266
9,Nassau,314948,1
9,Queens,101,0
10,Queens,318047,1
11,Queens,318908,1
12,Queens,319097,1
13,Queens,318655,1
14,Queens,318193,1
15,Queens,318818,1
16,Queens,318903,1
17,Kings,317801,1
18,Kings,316242,1
19,Kings,316700,1
20,Kings,316594,1
21,Kings,317171,1
22,Kings,317799,1
23,Kings,167101,0.527
23,Richmond,150007,0.473
24,Richmond,318723,1
25,Kings,315939,1
26,Kings,119353,0.376
26,New York,198115,0.624
27,New York,317748,1
28,New York,317856,1
29,Bronx,197360,0.623
29,New York,119194,0.377
30,New York,315897,1
31,New York,317063,1
32,Bronx,316320,1
33,Bronx,316581,1
34,Bronx,299748,0.944
34,Westchester,17809,0.056
35,Westchester,306855,1
36,Bronx,255099,0.805
36,Westchester,61879,0.195
37,Westchester,308420,1
38,Rockland,259994,0.873
38,Westchester,37674,0.127
39,Orange,222245,0.758
39,Rockland,51693,0.176
39,Ulster,19307,0.066
40,Dutchess,23084,0.076
40,Putnam,64732,0.213
40,Westchester,216476,0.711
41,Dutchess,274404,0.887
41,Putnam,34978,0.113
42,Delaware,16660,0.056
42,Orange,150568,0.504
42,Sullivan,77547,0.26
42,Ulster,53831,0.18
43,Columbia,63096,0.215
43,Rensselaer,110352,0.376
43,Saratoga,115423,0.394
43,Washington,4357,0.015
44,Albany,242145,0.831
44,Rensselaer,49077,0.169
45,Clinton,82128,0.27
45,Essex,39370,0.129
45,Franklin,51599,0.169
45,St. Lawrence,6922,0.023
45,Warren,65707,0.216
45,Washington,58859,0.193
46,Albany,62059,0.21
46,Greene,49221,0.167
46,Montgomery,50219,0.17
46,Schenectady,39233,0.133
46,Ulster,94300,0.32
47,Lewis,27087,0.091
47,Oneida,222543,0.749
47,St. Lawrence,47323,0.159
48,Jefferson,116229,0.393
48,Oswego,122109,0.412
48,St. Lawrence,57699,0.195
49,Fulton,55531,0.19
49,Hamilton,4836,0.017
49,Herkimer,12315,0.042
49,Saratoga,104184,0.356
49,Schenectady,115494,0.395
50,Cayuga,32137,0.109
50,Onondaga,261522,0.891
51,Cayuga,12676,0.043
51,Chenango,15418,0.053
51,Cortland,49336,0.168
51,Delaware,26384,0.09
51,Herkimer,52204,0.178
51,Otsego,62259,0.212
51,Schoharie,32749,0.112
51,Tompkins,26996,0.092
51,Ulster,15055,0.051
52,Broome,200600,0.688
52,Chenango,35059,0.12
52,Delaware,4936,0.017
52,Tioga,51125,0.175
53,Madison,73442,0.252
53,Oneida,12335,0.042
53,Onondaga,205504,0.706
54,Cayuga,35213,0.12
54,Monroe,42641,0.145
54,Ontario,76124,0.259
54,Seneca,35251,0.12
54,Tompkins,11033,0.038
54,Wayne,93772,0.319
55,Monroe,259613,0.891
55,Ontario,31807,0.109
56,Monroe,290820,1
57,Allegany,48946,0.167
57,Cattaraugus,80317,0.275
57,Chautauqua,134905,0.461
57,Livingston,28201,0.096
58,Chemung,88830,0.301
58,Schuyler,18343,0.062
58,Steuben,98990,0.336
58,Tompkins,63535,0.215
58,Yates,25348,0.086
59,Erie,174575,0.579
59,Livingston,37192,0.123
59,Monroe,47356,0.157
59,Wyoming,42155,0.14
60,Erie,292032,1
61,Erie,161667,0.554
61,Genesee,60079,0.206
61,Monroe,69883,0.24
62,Monroe,34031,0.116
62,Niagara,216469,0.738
62,Orleans,42883,0.146
63,Erie,290766,1
