SD #,County,County Pop. in SD,% of SD in County
1,Auglaize,23357,0.069
1,Defiance,39037,0.115
1,Fulton,14382,0.043
1,Hancock,74782,0.221
1,Hardin,32058,0.095
1,Henry,28215,0.083
1,Logan,6067,0.018
1,Paulding,19614,0.058
1,Putnam,34499,0.102
1,Van Wert,28744,0.085
1,Williams,37642,0.111
2,Erie,77079,0.214
2,Fulton,28316,0.079
2,Lucas,87202,0.243
2,Ottawa,41428,0.115
2,Wood,125488,0.349
3,Franklin,340393,1
4,Butler,349633,1
5,Darke,19137,0.054
5,Miami,102506,0.29
5,Montgomery,189011,0.536
5,Preble,42270,0.12
6,Montgomery,346142,1
7,Butler,18497,0.054
7,Hamilton,112804,0.328
7,Warren,212693,0.618
8,Hamilton,346673,1
9,Hamilton,342897,1
10,Clark,138333,0.403
10,Greene,161573,0.471
10,Madison,43435,0.127
11,Lucas,354613,1
12,Allen,106331,0.319
12,Auglaize,22592,0.068
12,Champaign,40097,0.12
12,Darke,33822,0.102
12,Logan,39791,0.12
12,Mercer,40814,0.123
12,Shelby,49423,0.148
13,Huron,59626,0.165
13,Lorain,301356,0.835
14,Adams,28550,0.078
14,Brown,44846,0.123
14,Clermont,197363,0.541
14,Lawrence,14221,0.039
14,Scioto,79499,0.218
15,Franklin,356120,1
16,Franklin,348174,1
17,Clinton,42040,0.115
17,Fayette,29030,0.08
17,Gallia,30934,0.085
17,Highland,43589,0.12
17,Jackson,33225,0.091
17,Lawrence,48229,0.132
17,Pickaway,22396,0.061
17,Pike,28709,0.079
17,Ross,78064,0.214
17,Vinton,8483,0.023
18,Geauga,72481,0.206
18,Lake,117476,0.334
18,Portage,161419,0.459
19,Delaware,174214,0.492
19,Franklin,118727,0.336
19,Knox,60921,0.172
19,Licking,5,0
20,Athens,4480,0.013
20,Fairfield,146156,0.412
20,Guernsey,40087,0.113
20,Hocking,29380,0.083
20,Morgan,15054,0.042
20,Muskingum,86074,0.243
20,Pickaway,33302,0.094
21,Cuyahoga,355248,1
22,Ashland,53139,0.146
22,Holmes,12788,0.035
22,Medina,172332,0.475
22,Richland,124475,0.343
23,Cuyahoga,336595,1
24,Cuyahoga,356289,1
25,Cuyahoga,231990,0.673
25,Lake,112565,0.327
26,Crawford,43784,0.13
26,Marion,66501,0.197
26,Morrow,34827,0.103
26,Sandusky,60944,0.18
26,Seneca,56745,0.168
26,Union,52300,0.155
26,Wyandot,22615,0.067
27,Stark,31719,0.092
27,Summit,197421,0.574
27,Wayne,114520,0.333
28,Summit,344360,1
29,Stark,343867,1
30,Athens,60277,0.165
30,Belmont,70400,0.193
30,Carroll,28836,0.079
30,Harrison,15864,0.043
30,Jefferson,69709,0.191
30,Meigs,23770,0.065
30,Monroe,14642,0.04
30,Noble,14645,0.04
30,Vinton,4952,0.014
30,Washington,61778,0.169
31,Coshocton,36901,0.102
31,Holmes,29578,0.082
31,Licking,166487,0.46
31,Perry,36058,0.1
31,Tuscarawas,92582,0.256
32,Ashtabula,101497,0.305
32,Geauga,20908,0.063
32,Trumbull,210312,0.632
33,Columbiana,107841,0.311
33,Mahoning,238823,0.689
