SD #,County,County Pop. in SD,% of SD in County
1,Bowie,92565,0.113
1,Camp,12401,0.015
1,Cass,30464,0.037
1,Franklin,10605,0.013
1,Gregg,121730,0.148
1,Harrison,65631,0.08
1,Lamar,49793,0.061
1,Marion,10546,0.013
1,Morris,12934,0.016
1,Panola,23796,0.029
1,Red River,12860,0.016
1,Rusk,53330,0.065
1,Smith,209714,0.256
1,Titus,32334,0.039
1,Upshur,39309,0.048
1,Wood,41964,0.051
2,Dallas,402908,0.498
2,Delta,5231,0.006
2,Fannin,33915,0.042
2,Hopkins,35161,0.043
2,Hunt,86129,0.107
2,Kaufman,103350,0.128
2,Rains,10914,0.013
2,Rockwall,78337,0.097
2,Van Zandt,52579,0.065
3,Anderson,58458,0.069
3,Angelina,86771,0.103
3,Cherokee,50845,0.06
3,Hardin,54635,0.065
3,Henderson,78532,0.093
3,Houston,23732,0.028
3,Jasper,35710,0.042
3,Liberty,75643,0.09
3,Montgomery,65140,0.077
3,Nacogdoches,64524,0.076
3,Newton,14445,0.017
3,Orange,81837,0.097
3,Polk,45413,0.054
3,Sabine,10834,0.013
3,San Augustine,8865,0.011
3,San Jacinto,26384,0.031
3,Shelby,25448,0.03
3,Trinity,14585,0.017
3,Tyler,21766,0.026
4,Chambers,35096,0.043
4,Galveston,2417,0.003
4,Harris,135603,0.166
4,Jefferson,252273,0.309
4,Montgomery,390606,0.479
5,Brazos,194851,0.236
5,Freestone,19816,0.024
5,Grimes,26604,0.032
5,Leon,16801,0.02
5,Limestone,23384,0.028
5,Madison,13664,0.017
5,Milam,24757,0.03
5,Robertson,16622,0.02
5,Walker,67861,0.082
5,Williamson,422677,0.511
6,Harris,812881,1
7,Harris,809277,1
8,Collin,668605,0.841
8,Dallas,126295,0.159
9,Dallas,208574,0.256
9,Tarrant,606877,0.744
10,Tarrant,834267,1
11,Brazoria,216713,0.274
11,Galveston,288892,0.365
11,Harris,286165,0.361
12,Denton,546764,0.668
12,Tarrant,272074,0.332
13,Fort Bend,112495,0.139
13,Harris,696185,0.861
14,Bastrop,74171,0.089
14,Travis,760579,0.911
14,Williamson,2,0
15,Harris,793108,1
16,Dallas,816670,1
17,Brazoria,96453,0.12
17,Fort Bend,186302,0.232
17,Harris,521407,0.648
18,Aransas,23158,0.029
18,Austin,28417,0.035
18,Burleson,17187,0.021
18,Calhoun,21381,0.026
18,Colorado,20874,0.026
18,DeWitt,20097,0.025
18,Fayette,24554,0.03
18,Fort Bend,286578,0.354
18,Goliad,7210,0.009
18,Gonzales,19807,0.024
18,Harris,37833,0.047
18,Jackson,14075,0.017
18,Lavaca,19263,0.024
18,Lee,16612,0.021
18,Matagorda,36702,0.045
18,Nueces,3599,0.004
18,Refugio,7383,0.009
18,Victoria,86793,0.107
18,Waller,43205,0.053
18,Washington,33718,0.042
18,Wharton,41280,0.051
19,Atascosa,43923,0.055
19,Bexar,490006,0.612
19,Brewster,9232,0.012
19,Crockett,3719,0.005
19,Dimmit,9996,0.012
19,Edwards,2002,0.003
19,Frio,17217,0.022
19,Kinney,3598,0.004
19,Maverick,54258,0.068
19,Medina,46006,0.057
19,Pecos,15507,0.019
19,Real,3309,0.004
19,Reeves,13783,0.017
19,Terrell,984,0.001
19,Uvalde,26405,0.033
19,Val Verde,48879,0.061
19,Zavala,11677,0.015
20,Brooks,7223,0.009
20,Hidalgo,448654,0.538
