SD #,County,County Pop. in SD,% of SD in County
Addison,Addison,36821,0.949
Addison,Chittenden,1968,0.051
Bennington,Bennington,37125,0.952
Bennington,Windham,1876,0.048
Caledonia,Caledonia,31227,0.778
Caledonia,Orange,8887,0.222
Grand-Isle-Chittenden,Chittenden,17067,0.774
Grand-Isle-Chittenden,Grand Isle,4972,0.226
Chittenden,Chittenden,137510,1
Essex-Orleans,Essex,6306,0.163
Essex-Orleans,Franklin,3509,0.091
Essex-Orleans,Lamoille,1676,0.043
Essex-Orleans,Orleans,27231,0.703
Franklin,Franklin,44237,0.957
Franklin,Grand Isle,1998,0.043
Lamoille,Lamoille,22799,1
Orange,Orange,20049,1
Rutland,Rutland,60405,1
Washington,Washington,59534,1
Windham,Windham,40868,1
Windsor,Rutland,1237,0.021
Windsor,Windham,1769,0.03
Windsor,Windsor,56670,0.95
