State abbrev,Organization,Organization Site
AZ,Sierra Club Grand Canyon Chapter,https://www.sierraclub.org/arizona/legislative-archive
CO,Conservation Colorado,http://scorecard.conservationco.org/past-scorecards/
CT,Connecticut League of Conservation Voters,https://www.ctlcv.org/scorecard.html
FL,Sierra Club Florida Chapter,https://www.sierraclub.org/florida
FL,Florida Conservation Voters,https://fcvoters.org/
GA,Georgia Conservation Voters,https://gcvoters.org/scorecards/
IL,Illinois Environmental Council,https://ilenviro.org/iec-scorecard/
IA,Sierra Club Iowa Chapter,https://www.sierraclub.org/iowa
ME,Maine Conservation Voters,https://www.maineconservation.org/scores
MD,Maryland League of Conservation Voters,https://www.mdlcv.org/scorecard-archives
MI,Michigan League of Conservation Voters,https://michiganlcv.org/at-the-capitol/scorecard-archive/
MN,Conservation Minnesota,https://www.conservationminnesota.org/
MN,Clean Water Action Minnesota,https://www.cleanwateraction.org/states/minnesota
MO,Sierra Club Missouri Chapter,https://www.sierraclub.org/missouri
MT,Montana Conservation Voters,https://mtvoters.org/tools-resources/scorecards/
NV,Nevada Conservation League,https://www.conservationscorecard.org/
NJ,New Jersey League of Conservation Voters,https://www.njlcv.org/scorecard/library
NM,Conservation Voters New Mexico,https://scorecard.cvnm.org/scores/past-scorecards/
NY,New York League of Conservation Voters,https://nylcv.org/candidate-evaluation/
NY,Environmental Advocates Action,https://eaaction.org/scorecard-archive/
NC,North Carolina League of Conservation Voters,https://nclcv.org/scorecard/
OR,Oregon League of Conservation Voters,https://www.olcv.org/
PA,Sierra Club Pennsylvania Chapter,https://www.sierraclub.org/pennsylvania/environmental-scorecard
PA,PennEnvironment,https://pennenvironment.org/
PA,Clean Water Action,https://www.cleanwateraction.org/features/2019-2020-pennsylvania-environmental-scorecard
PA,Conservation Voters of Pennsylvania,https://scorecard.conservationpa.org/
SC,Conservation Voters of South Carolina,https://www.cvsc.org/scorecard/legislative-scorecard/
TX,Sierra Club Lone Star Chapter,https://www.sierraclub.org/texas/2019-texas-legislative-scorecard-key-votes
TX,Environment Texas,https://environmenttexas.org/page/txe/legislative-scorecards
UT,Sierra Club Utah Chapter,https://contentdev.sierraclub.org/utah/content/utah-legislative-scorecard
VT,Vermont Conservation Voters,https://vermontconservationvoters.com/legislative-scorecard/
VA,Virginia League of Conservation Voters,https://valcv.org/the-virginia-leagues-annual-conservation-scorecard/
WA,Washington Conservation Voters,https://wcvoters.org/our-work/scorecard/
WV,West Virginia Environmental Council,https://wvecouncil.org/environmental-voting-scorecard-for-2015-2016/
WV,Sierra Club West Virginia Chapter,https://www.sierraclub.org/west-virginia/political
WI,Wisconsin Conservation Voters,https://conservationvoters.org/
WI,Sierra Club Wisconsin Chapter,https://www.sierraclub.org/wisconsin
