stateAbbr,geoType,name,geoid,sourceURL,countSolarJobs,countWindJobs,countEnergyJobs,totalJobs,percentOfStateJobs,residentialMWhInvested,commercialMWhInvested,utilityMWhInvested,totalMWhInvested,residentialDollarsInvested,commercialDollarsInvested,utilityDollarsInvested,totalDollarsInvested,investmentHomesEquivalent,countResidentialInstallations,countCommercialInstallations,countUtilityInstallations,countTotalInstallations,residentialMWCapacity,commercialMWCapacity,utilityMWCapacity,totalMWCapacity
UT,State,Utah,49,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=49,4408.0,300.0,31079.0,35787.0,,237941.39,8253.0,2499104.0,2745299.0,497.27,17.0,2818.0,3332.27,307690.0,26692.0,113.0,29.0,26834.0,160.15,8.25,1491.9,1660.31
AK,State,Alaska,02,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=02,64.0,50.0,4473.0,4587.0,,1647.1,4446.0,164855.0,170948.0,6.43,13.0,137.0,156.43,23606.0,345.0,11.0,6.0,362.0,2.07,5.75,67.7,75.52
AR,State,Arkansas,05,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=05,271.0,750.0,14133.0,15154.0,,3394.25,1452.0,16844.0,21691.0,7.64,2.0,21.0,30.64,1610.0,410.0,2.0,1.0,413.0,2.46,1.01,12.0,15.47
CO,State,Colorado,08,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=08,6004.0,6500.0,31885.0,44389.0,,391297.42,56495.0,10125731.0,10573523.0,781.7,85.0,6615.0,7481.7,1280056.0,41959.0,85.0,45.0,42089.0,251.75,38.35,3443.6,3733.71
FL,State,Florida,12,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=12,8260.0,1500.0,109637.0,119397.0,,156533.96,22849.0,757127.0,936510.0,371.84,35.0,1054.0,1460.84,68385.0,19959.0,47.0,18.0,20024.0,119.75,15.82,592.4,727.98
DC,State,District of Columbia,11,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=11,1180.0,,12359.0,13539.0,,21550.15,90.0,0.0,21640.0,50.26,0.0,0.0,50.26,2457.0,2698.0,1.0,0.0,2699.0,16.19,0.07,0.0,16.26
SD,State,South Dakota,46,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=46,478.0,1500.0,7257.0,9235.0,,345.69,1462.0,3152513.0,3154321.0,0.76,3.0,1779.0,1782.76,267987.0,41.0,2.0,11.0,54.0,0.24,1.75,837.8,839.79
RI,State,Rhode Island,44,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=44,1176.0,300.0,12260.0,13736.0,,11247.65,14505.0,26134.0,51887.0,25.95,29.0,87.0,141.95,7360.0,1393.0,15.0,7.0,1415.0,8.36,15.34,51.5,75.2
ME,State,Maine,23,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=23,572.0,1500.0,8155.0,10227.0,,20697.71,68.0,1667103.0,1687869.0,58.91,2.0,1712.0,1772.91,250057.0,3162.0,2.0,16.0,3180.0,18.97,0.65,898.8,918.42
MN,State,Minnesota,27,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=27,2872.0,3500.0,43669.0,50041.0,,21622.79,172482.0,10637355.0,10831459.0,49.97,129.0,7272.0,7450.97,1184545.0,2682.0,56.0,117.0,2855.0,16.09,80.43,3715.9,3812.43
