stateAbbr,geoType,name,geoid,sourceURL,countSolarJobs,countWindJobs,countEnergyJobs,totalJobs,percentOfStateJobs,residentialMWhInvested,commercialMWhInvested,utilityMWhInvested,totalMWhInvested,residentialDollarsInvested,commercialDollarsInvested,utilityDollarsInvested,totalDollarsInvested,investmentHomesEquivalent,countResidentialInstallations,countCommercialInstallations,countUtilityInstallations,countTotalInstallations,residentialMWCapacity,commercialMWCapacity,utilityMWCapacity,totalMWCapacity
UT,state,Utah,49,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=49,"4,408",300,"31,079","35,787",,"237,941.39","8,253","2,499,104","2,745,299",497.27,17,"2,818","$3,332","307,690","26,692",113,29,"26,834",160.15,8.25,"1,491.90","1,660.31"
AK,state,Alaska,02,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=02,64,50,"4,473","4,587",,"1,647.10","4,446","164,855","170,948",6.43,13,137,$156,"23,606",345,11,6,362,2.07,5.75,67.70,75.52
AR,state,Arkansas,05,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=05,271,750,"14,133","15,154",,"3,394.25","1,452","16,844","21,691",7.64,2,21,$31,"1,610",410,2,1,413,2.46,1.01,12.00,15.47
CO,state,Colorado,08,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=08,"6,004","6,500","31,885","44,389",,"391,297.42","56,495","10,125,731","10,573,523",781.70,85,"6,615","$7,482","1,280,056","41,959",85,45,"42,089",251.75,38.35,"3,443.60","3,733.71"
FL,state,Florida,12,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=12,"8,260","1,500","109,637","119,397",,"156,533.96","22,849","757,127","936,510",371.84,35,"1,054","$1,461","68,385","19,959",47,18,"20,024",119.75,15.82,592.40,727.98
DC,state,District of Columbia,11,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=11,"1,180",,"12,359","13,539",,"21,550.15",90,0,"21,640",50.26,0,0,$50,"2,457","2,698",1,0,"2,699",16.19,0.07,0,16.26
SD,state,South Dakota,46,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=46,478,"1,500","7,257","9,235",,345.69,"1,462","3,152,513","3,154,321",0.76,3,"1,779","$1,783","267,987",41,2,11,54,0.24,1.75,837.80,839.79
RI,state,Rhode Island,44,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=44,"1,176",300,"12,260","13,736",,"11,247.65","14,505","26,134","51,887",25.95,29,87,$142,"7,360","1,393",15,7,"1,415",8.36,15.34,51.50,75.20
ME,state,Maine,23,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=23,572,"1,500","8,155","10,227",,"20,697.71",68,"1,667,103","1,687,869",58.91,2,"1,712","$1,772","250,057","3,162",2,16,"3,180",18.97,0.65,898.80,918.42
MN,state,Minnesota,27,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=27,"2,872","3,500","43,669","50,041",,"21,622.79","172,482","10,637,355","10,831,459",49.97,129,"7,272","$7,451","1,184,545","2,682",56,117,"2,855",16.09,80.43,"3,715.90","3,812.43"
KS,state,Kansas,20,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=20,467,"5,500","16,271","22,238",,"6,398.57","2,626","14,110,881","14,119,906",13.92,9,"8,420","$8,443","1,313,528",747,6,30,783,4.48,4.65,"4,473.80","4,482.93"
AZ,state,Arizona,04,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=04,"7,310",300,"41,608","49,218",,"1,046,092.54","63,096","4,156,965","5,266,153","2,020.46",82,"4,426","$6,529","426,984","108,452",76,62,"108,590",650.71,37.21,"2,430.29","3,118.22"
IN,state,Indiana,18,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=18,"2,700","1,500","51,948","56,148",,"8,655.04","30,148","5,080,682","5,119,485",20.60,55,"4,382","$4,457","442,623","1,106",24,39,"1,169",6.64,24.66,"2,026.00","2,057.30"
CT,state,Connecticut,09,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=09,"2,174",50,"33,708","35,932",,"206,235.05","25,071","38,756","270,062",499.41,43,45,$587,"31,823","26,807",51,8,"26,866",160.84,19.57,25.50,205.91
GA,state,Georgia,13,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=13,"3,924",300,"57,211","61,435",,"6,910.04","19,685","1,365,876","1,392,472",15.02,31,"1,726","$1,771","103,438",806,15,26,847,4.84,13.81,969.50,988.15
CA,state,California,06,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=06,"100,050","3,500","303,134","406,684",,"7,138,383.78","607,024","26,009,481","33,754,889","14,324.23",866,"29,977","$45,167","5,038,667","768,880",696,383,"769,959","4,613.28",391.51,"15,653.30","20,658.09"
TX,state,Texas,48,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=48,"9,396","22,500","151,042","182,938",,"280,245.54","14,422","58,357,047","58,651,714",607.54,28,"38,895","$39,530","4,154,897","32,611",21,162,"32,794",195.67,12.34,"20,794.84","21,002.85"
DE,state,Delaware,10,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=10,363,50,"12,009","12,422",,"40,457.56","6,862","39,792","87,112",93.65,11,55,$160,"7,438","5,027",7,5,"5,039",30.16,5.12,29.70,64.99
ID,state,Idaho,16,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=16,611,750,"8,081","9,442",,"12,185.74",0,"2,810,086","2,822,272",28.37,0,"2,385","$2,414","245,779","1,523",1,35,"1,559",9.14,0.3,"1,132.40","1,141.84"
IL,state,Illinois,17,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=17,"3,718","4,500","84,247","92,465",,"16,624.25","15,771","10,694,633","10,727,028",39.50,28,"8,415","$8,482","1,251,188","2,120",16,32,"2,168",12.72,13.09,"4,035.20","4,061.01"
HI,state,Hawaii,15,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=15,"3,194",300,"5,493","8,987",,"670,477.42","18,633","739,386","1,428,496","1,370.18",27,553,"$1,950","231,658","73,547",27,16,"73,590",441.28,12.26,282.85,736.39
NV,state,Nevada,32,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=32,"8,371",50,"10,279","18,700",,"265,391.63","14,722","3,193,263","3,473,377",476.93,19,"3,187","$3,683","317,038","25,600",16,24,"25,640",153.60,8.51,"1,768.40","1,930.51"
IA,state,Iowa,19,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=19,563,"8,500","19,696","28,759",,"13,314.47","108,879","19,970,622","20,092,815",30.33,119,"13,570","$13,719","1,977,170","1,628",48,60,"1,736",9.77,58.26,"6,908.50","6,976.53"
MA,state,Massachusetts,25,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=25,"14,582",750,"82,880","98,212",,"581,111.36","163,508","720,382","1,465,001","1,361.55",273,937,"$2,571","203,503","73,084",152,138,"73,374",438.50,123.9,501.30,"1,063.70"
KY,state,Kentucky,21,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=21,"1,202",300,"23,878","25,380",,"2,461.93","1,177","15,833","19,472",5.91,2,21,$29,"1,449",317,1,2,320,1.90,0.85,12.00,14.75
LA,state,Louisiana,22,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=22,"2,922",300,"20,554","23,776",,"97,756.96",569,0,"98,326",225.76,1,0,$227,"6,370","12,118",3,0,"12,121",72.71,0.41,0,73.12
WY,state,Wyoming,56,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=56,152,750,"7,220","8,122",,"1,307.12","5,439","4,097,518","4,104,264",2.76,5,"3,131","$3,139","411,279",148,3,21,172,0.89,3.12,"1,497.50","1,501.51"
AL,state,Alabama,01,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=01,530,300,"28,882","29,712",,726.09,0,"103,949","104,675",1.62,0,134,$135,"7,160",87,0,1,88,0.52,0.0,75.00,75.52
MD,state,Maryland,24,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=24,"5,429",300,"66,758","72,487",,"425,974.88","56,165","706,417","1,188,557",996.59,93,639,"$1,729","99,137","53,494",62,27,"53,583",320.96,42.28,325.04,688.29
MI,state,Michigan,26,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=26,"4,118","2,500","82,458","89,076",,"17,382.20","12,761","4,702,825","4,732,969",44.30,28,"3,227","$3,299","607,675","2,378",16,23,"2,417",14.27,14.46,"1,614.70","1,643.43"
MO,state,Missouri,29,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=29,"2,380","1,500","38,576","42,456",,"44,467.03","1,822","1,156,828","1,203,118",103.68,3,"1,400","$1,507","97,016","5,565",3,15,"5,583",33.39,1.33,684.10,718.82
NH,state,New Hampshire,33,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=33,"1,184",300,"10,896","12,380",,"43,941.06",0,"432,324","476,265",103.66,0,374,$478,"65,414","5,564",0,4,"5,568",33.38,0.0,185.30,218.68
MT,state,Montana,30,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=30,168,750,"8,261","9,179",,"6,388.89",0,"2,140,191","2,146,580",15.65,2,"1,366","$1,384","218,617",840,2,14,856,5.04,1.21,689.30,695.55
MS,state,Mississippi,28,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=28,883,50,"14,271","15,204",,683.71,161,"4,487","5,332",1.55,0,6,$7,365,83,3,1,87,0.50,0.11,3.10,3.71
NY,state,New York,36,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=36,"8,135","1,500","114,977","124,612",,"682,391.92","48,249","4,056,011","4,786,652","1,655.95",85,"3,905","$5,646","663,172","88,886",65,46,"88,997",533.32,38.59,"1,919.80","2,491.70"
VT,state,Vermont,50,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=50,"1,767",300,"10,765","12,832",,"50,120.84","13,123","364,143","427,387",122.53,24,361,$508,"63,846","6,577",11,25,"6,613",39.46,10.75,178.40,228.61
TN,state,Tennessee,47,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=47,"3,548",300,"50,489","54,337",,"10,373.69","3,598","137,138","151,110",23.80,9,160,$192,"10,093","1,277",3,7,"1,287",7.66,4.4,96.40,108.46
OR,state,Oregon,41,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=41,"4,509","2,500","41,341","48,350",,"104,226.83","17,955","6,988,627","7,110,809",267.40,31,"6,402","$6,700","656,617","14,353",46,47,"14,446",86.12,13.78,"3,129.70","3,229.59"
NE,state,Nebraska,31,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=31,"1,585","3,500","12,594","17,679",,"1,991.55","9,378","3,797,830","3,809,200",4.32,9,"2,445","$2,458","330,059",232,4,18,254,1.39,5.46,"1,330.90","1,337.75"
VA,state,Virginia,51,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=51,"3,236",300,"74,497","78,033",,"27,206.28","2,046","143,225","172,477",62.21,3,186,$251,"12,513","3,339",2,5,"3,346",20.04,1.5,104.40,125.94
NM,state,New Mexico,35,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=35,"2,929","1,500","4,831","9,260",,"124,074.52","25,995","4,150,040","4,300,109",263.61,47,"2,771","$3,081","563,950","14,150",20,44,"14,214",84.90,21.74,"1,572.50","1,679.14"
WI,state,Wisconsin,55,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=55,"2,813","1,500","61,274","65,587",,"21,386.41","4,261","1,515,738","1,541,386",51.36,8,"1,397","$1,456","192,337","2,757",9,13,"2,779",16.54,4.09,641.50,662.13
NC,state,North Carolina,37,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=37,"7,112","1,500","81,315","89,927",,"51,805.44","84,022","3,235,811","3,371,638",114.24,132,"4,414","$4,660","252,528","6,132",50,361,"6,543",36.79,59.66,"2,502.10","2,598.55"
OH,state,Ohio,39,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=39,"5,831","2,500","77,595","85,926",,"13,804.26","35,619","1,300,479","1,349,902",34.50,76,"1,206","$1,317","124,615","1,852",103,21,"1,976",11.11,35.13,580.20,626.44
OK,state,Oklahoma,40,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=40,814,"8,500","13,141","22,455",,"4,353.03",0,"20,072,897","20,077,250",10.19,0,"12,200","$12,211","1,530,430",547,0,45,592,3.28,0.0,"6,657.30","6,660.58"
SC,state,South Carolina,45,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=45,"2,772",300,"28,133","31,205",,"93,935.37",721,"31,109","125,765",205.08,1,39,$245,"9,146","11,008",1,4,"11,013",66.05,0.51,21.90,88.46
WV,state,West Virginia,54,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=54,381,750,"6,064","7,195",,"4,883.70",0,"1,432,154","1,437,038",12.17,0,"1,422","$1,434","108,221",653,0,6,659,3.92,0.0,686.30,690.22
WA,state,Washington,53,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=53,"3,681","1,500","62,086","67,267",,"90,673.54",680,"8,326,723","8,418,076",251.54,1,"6,254","$6,507","727,801","13,502",3,22,"13,527",81.01,0.5,"3,196.80","3,278.31"
ND,state,North Dakota,38,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=38,175,"4,500","5,074","9,749",,200.55,0,"8,171,922","8,172,123",0.56,9,"5,497","$5,506","624,355",30,5,30,65,0.18,4.12,"2,828.40","2,832.70"
NJ,state,New Jersey,34,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=34,"6,056",750,"32,543","39,349",,"623,047.68","240,538","723,661","1,587,247","1,487.94",413,974,"$2,875","193,075","79,868",320,111,"80,299",479.21,186.83,547.28,"1,213.32"
PA,state,Pennsylvania,42,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=42,"3,061","1,500","63,012","67,573",,"133,258.49","39,009","3,516,922","3,689,190",326.81,67,"2,888","$3,281","377,608","17,542",40,33,"17,615",105.25,30.15,"1,404.85","1,540.25"
