state_abbr,region_type,geoid,name,html_url
AK,state,02,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=02
DC,state,11,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=11
TX,state,48,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=48
UT,state,49,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=49
RI,state,44,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=44
CO,state,08,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=08
ME,state,23,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=23
AR,state,05,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=05
HI,state,15,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=15
AZ,state,04,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=04
DE,state,10,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=10
GA,state,13,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=13
SD,state,46,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=46
MN,state,27,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=27
KS,state,20,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=20
CA,state,06,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=06
FL,state,12,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=12
CT,state,09,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=09
ID,state,16,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=16
IN,state,18,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=18
IL,state,17,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=17
NV,state,32,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=32
IA,state,19,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=19
MA,state,25,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=25
KY,state,21,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=21
WY,state,56,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=56
LA,state,22,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=22
AL,state,01,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=01
MD,state,24,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=24
MI,state,26,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=26
MO,state,29,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=29
NH,state,33,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=33
MT,state,30,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=30
MS,state,28,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=28
NY,state,36,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=36
VT,state,50,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=50
OR,state,41,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=41
NE,state,31,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=31
TN,state,47,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=47
NM,state,35,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=35
VA,state,51,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=51
WI,state,55,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=55
NC,state,37,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=37
OH,state,39,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=39
OK,state,40,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=40
SC,state,45,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=45
WA,state,53,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=53
WV,state,54,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=54
NJ,state,34,,http://assessor.keva.la/cleanenergyprogress/analytics?area_type=state&area_id=34
